,Complexity,PySR equation,Parameterized equation,Parameterization,"Parameters: (best-fit, +1, -1)",Covariance,Correlation,"Parameterized equation, unscaled",RMSE,R2,NDF,Chi2 (before ROF),Chi2,Chi2/NDF (before ROF),Chi2/NDF,p-value (before ROF),p-value
0,1,0.217,a1,{'a1': 0.217},"{'a1': (0.217, 0, 0)}",{},{},164.796*(a1),251.4,-0.3575,20,2617.0,2617.0,130.9,130.9,0.0,0.0
1,2,0.214,a1,{'a1': 0.214},"{'a1': (0.214, 0, 0)}",{},{},164.796*(a1),251.7,-0.3603,20,2616.0,2616.0,130.8,130.8,0.0,0.0
2,3,0.207,a1,{'a1': 0.207},"{'a1': (0.207, 0, 0)}",{},{},164.796*(a1),252.3,-0.3667,20,2615.0,2615.0,130.8,130.8,0.0,0.0
3,4,0.281*gauss(x0),a1*gauss(x0),{'a1': 0.281},"{'a1': (0.281, 0, 0)}",{},{},164.796*(a1*gauss(((x0 - 12.5) * 0.00210526))),247.1,-0.3115,20,2442.0,2442.0,122.1,122.1,0.0,0.0
4,5,0.364*gauss(x0),a1*gauss(x0),{'a1': 0.364},"{'a1': (0.364, 0, 0)}",{},{},164.796*(a1*gauss(((x0 - 12.5) * 0.00210526))),240.5,-0.2418,20,2391.0,2391.0,119.5,119.5,0.0,0.0
5,6,gauss(0.664*x0) - 0.58,a1 + gauss(a2*x0),"{'a1': -0.58, 'a2': 0.664}","{'a1': (-0.580262, 0.0879, -0.0879), 'a2': (0.664, 0, 0)}",{},{},164.796*(a1 + gauss(a2*((x0 - 12.5) * 0.00210526))),236.2,-0.1981,19,2341.0,2341.0,123.2,123.2,0.0,0.0
6,7,0.42 - 0.373*x0**2,a1*x0**2 + a2,"{'a1': -0.373, 'a2': 0.42}","{'a1': (-0.373, 0, 0), 'a2': (0.42, 0, 0)}",{},{},164.796*(a1*((x0 - 12.5) * 0.00210526)**2 + a2),235.9,-0.195,20,2332.0,2332.0,116.6,116.6,0.0,0.0
7,8,23.1*x0*gauss(3.6*x0),a2*x0*gauss(a1*x0),"{'a1': 3.6, 'a2': 23.1}","{'a1': (3.59295, 0.209, -0.209), 'a2': (23.0598, 3.58, -3.58)}","{'a1, a2': 0.566709136164767, 'a1, a1': 0.04388603536666481, 'a2, a2': 12.80292001370725}","{'a1, a2': 0.7574}",164.796*(a2*((x0 - 12.5) * 0.00210526)*gauss(a1*((x0 - 12.5) * 0.00210526))),101.1,0.7806,18,516.1,516.1,28.67,28.67,4.234999999999997e-98,4.3089999999999973e-98
8,9,23.1*gauss(3.55*x0)*tanh(x0),a2*gauss(a1*x0)*tanh(x0),"{'a1': 3.55, 'a2': 23.1}","{'a1': (3.54742, 0.212, -0.212), 'a2': (23.0587, 3.57, -3.57)}","{'a1, a2': 0.5720814049618776, 'a1, a1': 0.04482502637342434, 'a2, a2': 12.77891143029013}","{'a1, a2': 0.7559}",164.796*(a2*gauss(a1*((x0 - 12.5) * 0.00210526))*tanh(((x0 - 12.5) * 0.00210526))),101.1,0.7805,18,515.6,515.6,28.64,28.64,5.5699999999999964e-98,5.5789999999999964e-98
9,10,23.3*x0*gauss(3.74*x0) + 0.101,a1 + a3*x0*gauss(a2*x0),"{'a1': 0.101, 'a2': 3.74, 'a3': 23.3}","{'a1': (0.101, 0, 0), 'a2': (3.74294, 0.201, -0.201), 'a3': (23.3141, 3.23, -3.23)}","{'a2, a3': 0.48251182272739823, 'a2, a2': 0.040211012455602, 'a3, a3': 10.462590199359195}","{'a2, a3': 0.7432}",164.796*(a1 + a3*((x0 - 12.5) * 0.00210526)*gauss(a2*((x0 - 12.5) * 0.00210526))),98.01,0.7937,18,374.3,374.3,20.79,20.79,2.06e-68,2.066e-68
