,Complexity,PySR equation,Parameterized equation,Parameterization,"Parameters: (best-fit, +1, -1)",Covariance,Correlation,"Parameterized equation, unscaled",RMSE,R2,NDF,Chi2 (before ROF),Chi2,Chi2/NDF (before ROF),Chi2/NDF,p-value (before ROF),p-value
0,1,1.68,a1,{'a1': 1.68},"{'a1': (2.05528, 0.0655, -0.0655)}",{},{},a1,0.361,-0.04203,8,183.1,35.92,22.89,4.49,2.2790000000000005e-35,1.813e-05
1,2,2.05,a1,{'a1': 2.05},"{'a1': (2.05528, 0.0655, -0.0655)}",{},{},a1,0.361,-0.04203,8,35.95,35.92,4.494,4.49,1.791e-05,1.813e-05
2,4,exp(0.911**x0),exp(a1**x0),{'a1': 0.911},"{'a1': (0.902627, 0.0106, -0.0106)}",{},{},exp(a1**x0),0.2347,0.5595,8,27.46,25.38,3.433,3.173,0.0005885,0.001339
3,5,2.55 - 0.152*x0,a1*x0 + a2,"{'a1': -0.152, 'a2': 2.55}","{'a1': (-0.152, 0, 0), 'a2': (2.54597, 0.0532, -0.0532)}",{},{},a1*x0 + a2,0.2439,0.5245,8,23.71,23.7,2.964,2.962,0.002558,0.002575
4,6,2.25 - 0.0062*exp(x0),a1*exp(x0) + a2,"{'a1': -0.0062, 'a2': 2.25}","{'a1': (-0.0062, 0, 0), 'a2': (2.25253, 0.043, -0.043)}",{},{},a1*exp(x0) + a2,0.2749,0.3958,8,15.45,15.45,1.932,1.931,0.0509,0.05101
5,7,2.14 - 0.000627*x0**x0,a1*x0**x0 + a2,"{'a1': -0.000627, 'a2': 2.14}","{'a1': (-0.000627, 0, 0), 'a2': (2.14336, 0.0361, -0.0361)}",{},{},a1*x0**x0 + a2,0.2955,0.3019,8,10.91,10.9,1.364,1.363,0.2066,0.2073
6,8,2.13 - 5.48e-7*exp(x0)**3.07,a1*exp(x0)**a3 + a2,"{'a1': -5.48e-07, 'a2': 2.13, 'a3': 3.07}","{'a1': (-5.48e-07, 0, 0), 'a2': (2.12684, 0.0417, -0.0417), 'a3': (3.06639, 0.0545, -0.0545)}","{'a2, a3': 0.0009089538934345906, 'a2, a2': 0.0017370330904972918, 'a3, a3': 0.0029662557027436004}","{'a2, a3': 0.4}",a1*exp(x0)**a3 + a2,0.3005,0.278,7,10.68,10.67,1.526,1.524,0.1531,0.1537
7,10,tanh(5.0e+3/x0**6.05) + 1.12,a2 + tanh(a3*x0**a1),"{'a1': -6.05, 'a2': 1.12, 'a3': 5000.0}","{'a1': (-6.08353, 0.16, -0.16), 'a2': (1.12791, 0.0414, -0.0414), 'a3': (5000.0, 0, 0)}","{'a1, a2': -0.003455724117867078, 'a1, a1': 0.025558616293521953, 'a2, a2': 0.001711506471301966}","{'a1, a2': -0.5217}",a2 + tanh(a3*x0**a1),0.2978,0.291,7,9.183,9.103,1.312,1.3,0.2398,0.2453
8,11,0.139**x0 - 0.000611*x0**x0 + 2.13,a1*x0**x0 + a2**x0 + a3,"{'a1': -0.000611, 'a2': 0.139, 'a3': 2.13}","{'a1': (-0.000611, 0, 0), 'a2': (0.139, 0, 0), 'a3': (2.13367, 0.0314, -0.0314)}",{},{},a1*x0**x0 + a2**x0 + a3,0.1838,0.7298,8,8.238,8.224,1.03,1.028,0.4106,0.4119
9,12,-0.000601*x0**x0 + tanh(x0)**(-0.722) + 1.13,a2*x0**x0 + a3 + tanh(x0)**a1,"{'a1': -0.722, 'a2': -0.000601, 'a3': 1.13}","{'a1': (-0.722, 0, 0), 'a2': (-0.000601, 0, 0), 'a3': (1.12779, 0.0293, -0.0293)}",{},{},a2*x0**x0 + a3 + tanh(x0)**a1,0.1027,0.9157,8,7.176,7.171,0.897,0.8963,0.5178,0.5183
10,13,7.3*0.0138**x0 - 0.000615*x0**x0 + 2.13,a1*x0**x0 + a2**x0*a4 + a3,"{'a1': -0.000615, 'a2': 0.0138, 'a3': 2.13, 'a4': 7.3}","{'a1': (-0.000611827, 0.000119, -0.000119), 'a2': (0.0138, 0, 0), 'a3': (2.13469, 0.0337, -0.0337), 'a4': (7.3, 0, 0)}","{'a1, a3': -1.97765605821829e-06, 'a1, a1': 1.4078135307392676e-08, 'a3, a3': 0.00113567478364232}","{'a1, a3': -0.4931}",a1*x0**x0 + a2**x0*a4 + a3,0.07183,0.9587,7,6.304,6.276,0.9006,0.8966,0.5047,0.5079
