,"Parameterized equation, unscaled","Parameters: (best-fit, +1, -1)",Covariance,Correlation,RMSE,R2,NDF,Chi2,Chi2/NDF,p-value
0,a1,"{'a1': (8.10694, 0.148, -0.148)}",{},{},2.487,-0.3035,227,1601.0,7.055,4.324999999999999e-205
1,a1,"{'a1': (8.10694, 0.148, -0.148)}",{},{},2.487,-0.3035,227,1601.0,7.055,4.324999999999999e-205
2,a1,"{'a1': (8.10694, 0.148, -0.148)}",{},{},2.487,-0.3035,227,1601.0,7.055,4.324999999999999e-205
3,a1 + tanh(x0),"{'a1': (7.85372, 0.127, -0.127)}",{},{},2.073,0.09407,227,1175.0,5.178,1.2149999999999995e-127
4,a1 + x0*gauss(x1),"{'a1': (7.79314, 0.12, -0.12)}",{},{},2.034,0.1283,227,1061.0,4.675,7.515999999999995e-108
5,a1 + x0*gauss(x1**2),"{'a1': (7.797, 0.114, -0.114)}",{},{},1.943,0.2045,227,954.1,4.203,8.852999999999995e-90
6,a2*gauss(a1 + x0) + a3,"{'a1': (-1.27318, 0.0341, -0.0341), 'a2': (5.50643, 0.292, -0.292), 'a3': (6.43403, 0.128, -0.128)}","{'a1, a2': 0.0005048457008738753, 'a1, a3': -0.0003366835474595233, 'a2, a3': -0.026002963139020435, 'a1, a1': 0.0011604729933294377, 'a2, a2': 0.08532705003138685, 'a3, a3': 0.016494905952110235}","{'a1, a2': 0.0507, 'a1, a3': -0.07714, 'a2, a3': -0.6957}",1.54,0.5002,225,619.9,2.755,1.2340000000000002e-38
7,a2*gauss(a1 + x0) + a3 + tanh(x0),"{'a1': (-1.13786, 0.042, -0.042), 'a2': (4.3091, 0.285, -0.285), 'a3': (6.51956, 0.126, -0.126)}","{'a1, a2': 0.0002157810794630655, 'a1, a3': -0.0005048419155257729, 'a2, a3': -0.025191996186294526, 'a1, a1': 0.00176540505207027, 'a2, a2': 0.0811937660068834, 'a3, a3': 0.015955099033328552}","{'a1, a2': 0.01803, 'a1, a3': -0.0954, 'a2, a3': -0.7015}",1.406,0.5832,225,582.8,2.59,1.5100000000000002e-33
8,a2*gauss(a1 + x0) + a3 + x0*gauss(x1),"{'a1': (-1.11083, 0.0304, -0.0304), 'a2': (4.68754, 0.224, -0.224), 'a3': (6.33414, 0.0997, -0.0997)}","{'a1, a2': 8.247018040063204e-05, 'a1, a3': -0.00030083091287117224, 'a2, a3': -0.01569489257391372, 'a1, a1': 0.0009218536097535462, 'a2, a2': 0.05034587108802326, 'a3, a3': 0.009948615831069882}","{'a1, a2': 0.01211, 'a1, a3': -0.09926, 'a2, a3': -0.7028}",1.16,0.7164,225,361.0,1.604,2.23e-08
9,a2*gauss(a1 + x0) + a3 + x0*gauss(x1**2),"{'a1': (-1.10587, 0.0277, -0.0277), 'a2': (4.57664, 0.2, -0.2), 'a3': (6.37105, 0.089, -0.089)}","{'a1, a2': 6.122238031614474e-05, 'a1, a3': -0.00024677946227104726, 'a2, a3': -0.012480504772516082, 'a1, a1': 0.000767848299298426, 'a2, a2': 0.03999856336792426, 'a3, a3': 0.007912637332503695}","{'a1, a2': 0.01105, 'a1, a3': -0.1001, 'a2, a3': -0.7012}",1.039,0.7726,225,286.7,1.274,0.00336
10,a2*x0*gauss(x1**2) + a3*gauss(a1 + x0) + a4,"{'a1': (-1.02059, 0.0321, -0.0321), 'a2': (1.43575, 0.0784, -0.0784), 'a3': (4.26744, 0.194, -0.194), 'a4': (6.30521, 0.0858, -0.0858)}","{'a1, a2': 0.0012531103736540018, 'a1, a3': -0.0008199556112709164, 'a1, a4': -0.0004977846815317896, 'a2, a3': -0.003861726282059164, 'a2, a4': -0.0011285889830967124, 'a3, a4': -0.010522439331315057, 'a1, a1': 0.0010285868139423928, 'a2, a2': 0.00614779964053892, 'a3, a3': 0.03778979484059577, 'a4, a4': 0.00736557353236071}","{'a1, a2': 0.4979, 'a1, a3': -0.1317, 'a1, a4': -0.1807, 'a2, a3': -0.2539, 'a2, a4': -0.1678, 'a3, a4': -0.6322}",0.9587,0.8063,224,252.2,1.126,0.09451
11,a2*tanh(a1*x0 + a3*x0**2*x1) + a4,"{'a1': (-2.82134, 0.324, -0.324), 'a2': (-2.46773, 0.0836, -0.0836), 'a3': (1.10832, 0.128, -0.128), 'a4': (8.33814, 0.0568, -0.0568)}","{'a1, a2': -0.017725173999902165, 'a1, a3': -0.040968726614595205, 'a1, a4': 1.2995401110576884e-05, 'a2, a3': 0.006911406797320545, 'a2, a4': -0.00037956314241107195, 'a3, a4': 0.00033151373261350314, 'a1, a1': 0.10502902282320681, 'a2, a2': 0.006990172992645997, 'a3, a3': 0.01630871944279256, 'a4, a4': 0.0032227187880533754}","{'a1, a2': -0.6544, 'a1, a3': -0.9879, 'a1, a4': 0.0007061, 'a2, a3': 0.6459, 'a2, a4': -0.07993, 'a3, a4': 0.0456}",0.8672,0.8415,224,205.4,0.9168,0.8092
12,a1*tanh(a2*x0 + a3*x0**2*x1) + a4 + tanh(x1),"{'a1': (-2.60145, 0.0898, -0.0898), 'a2': (-2.42304, 0.256, -0.256), 'a3': (0.971964, 0.103, -0.103), 'a4': (7.7885, 0.0563, -0.0563)}","{'a1, a2': -0.016063676094000685, 'a1, a3': 0.006392883263569866, 'a1, a4': -0.00041576869656768895, 'a2, a3': -0.025997453321497575, 'a2, a4': 1.1517985796828128e-05, 'a3, a4': 0.00032136237676331413, 'a1, a1': 0.008063554483735606, 'a2, a2': 0.06529678722210618, 'a3, a3': 0.010621681170854299, 'a4, a4': 0.0031734131303875106}","{'a1, a2': -0.6988, 'a1, a3': 0.6912, 'a1, a4': -0.08224, 'a2, a3': -0.9859, 'a2, a4': 0.0007991, 'a3, a4': 0.05542}",0.8664,0.8418,224,198.0,0.8839,0.8939
13,a3*tanh(a1*x1*(a2 + x0**2) + a4*x0) + a5 + x1,"{'a1': (-1.03433, 0.101, -0.101), 'a2': (0.646259, 0.0642, -0.0642), 'a3': (2.69503, 0.0756, -0.0756), 'a4': (2.80105, 0.269, -0.269), 'a5': (7.95255, 0.061, -0.061)}","{'a1, a2': 0.0009155434227979673, 'a1, a3': 0.004571595102680238, 'a1, a4': -0.026570450894452768, 'a1, a5': 0.00015984923795517045, 'a2, a3': 0.0004455218674698686, 'a2, a4': -0.00037073752687349394, 'a2, a5': 0.0016408703775864062, 'a3, a4': -0.012415608304325046, 'a3, a5': 0.0011457440403146257, 'a4, a5': -0.0005096433018709043, 'a1, a1': 0.010142053098440683, 'a2, a2': 0.004127143298135227, 'a3, a3': 0.005716911962675577, 'a4, a4': 0.07218041954234494, 'a5, a5': 0.003723429811555402}","{'a1, a2': 0.1412, 'a1, a3': 0.5987, 'a1, a4': -0.978, 'a1, a5': 0.02595, 'a2, a3': 0.09179, 'a2, a4': -0.02147, 'a2, a5': 0.419, 'a3, a4': -0.6105, 'a3, a5': 0.2484, 'a4, a5': -0.03106}",0.7702,0.875,223,169.7,0.7608,0.9968
