,"Parameterized equation, unscaled","Parameters: (best-fit, +1, -1)",Covariance,Correlation,RMSE,R2,NDF,Chi2,Chi2/NDF,p-value
0,1.0*(a1),"{'a1': (0.187, 0, 0)}",{},{},33.78,-0.1772,42,85650000.0,2039000.0,0.0
1,1.0*(a1),"{'a1': (0.000328, 0, 0)}",{},{},33.85,-0.1823,42,6557000.0,156100.0,0.0
2,1.0*(a1**((x0 - 1568.5) * 0.000145275)),"{'a1': (0.0011, 0, 0)}",{},{},33.53,-0.16,42,6310000.0,150200.0,0.0
3,1.0*(a2**(a1 + ((x0 - 1568.5) * 0.000145275))),"{'a1': (-0.307176, 0.00632, -0.00632), 'a2': (1.11e-06, 0, 0)}",{},{},16.04,0.7345,41,1543000.0,37640.0,0.0
4,1.0*(a1**((x0 - 1568.5) * 0.000145275)*a2),"{'a1': (9.31e-11, 0, 0), 'a2': (140.048, 1.94, -1.94)}",{},{},1.691,0.997,41,51140.0,1247.0,0.0
5,1.0*(a1**tanh(a2*((x0 - 1568.5) * 0.000145275))*a3),"{'a1': (2.91e-06, 0, 0), 'a2': (1.83834, 0.0199, -0.0199), 'a3': (140.718, 1.94, -1.94)}","{'a2, a3': 0.026630899381575018, 'a2, a2': 0.00039719489380993304, 'a3, a3': 3.753944795013491}","{'a2, a3': 0.6898}",1.537,0.9976,40,25930.0,648.4,0.0
6,1.0*(a2*(a1*((x0 - 1568.5) * 0.000145275))**(2*((x0 - 1568.5) * 0.000145275))),"{'a1': (8.15668e-05, 6.09e-06, -6.09e-06), 'a2': (146.743, 1.31, -1.31)}","{'a1, a2': -5.251008601057882e-06, 'a1, a1': 3.714286015688117e-11, 'a2, a2': 1.726169067768635}","{'a1, a2': -0.6582}",0.6705,0.9995,40,11950.0,298.6,0.0
7,1.0*(a2*(a1*((x0 - 1568.5) * 0.000145275))**(((x0 - 1568.5) * 0.000145275) + tanh(((x0 - 1568.5) * 0.000145275)))),"{'a1': (7.75121e-05, 5e-06, -5e-06), 'a2': (147.093, 1.14, -1.14)}","{'a1, a2': -3.7279647513902394e-06, 'a1, a1': 2.4993761801402503e-11, 'a2, a2': 1.3038564206765326}","{'a1, a2': -0.654}",0.6106,0.9996,40,9040.0,226.0,0.0
8,1.0*(a2*(a1*((x0 - 1568.5) * 0.000145275))**(2*tanh(((x0 - 1568.5) * 0.000145275)))),"{'a1': (7.30493e-05, 3.9e-06, -3.9e-06), 'a2': (147.523, 0.953, -0.953)}","{'a1, a2': -2.4140633610703845e-06, 'a1, a1': 1.5212285210283396e-11, 'a2, a2': 0.9088534277642898}","{'a1, a2': -0.6495}",0.539,0.9997,40,6322.0,158.0,0.0
9,1.0*(a2*(a1*((x0 - 1568.5) * 0.000145275)*exp(((x0 - 1568.5) * 0.000145275)))**(((x0 - 1568.5) * 0.000145275) + tanh(((x0 - 1568.5) * 0.000145275)))),"{'a1': (6.57839e-05, 3.18e-06, -3.18e-06), 'a2': (147.952, 0.873, -0.873)}","{'a1, a2': -1.7935685605255748e-06, 'a1, a1': 1.0114833807345803e-11, 'a2, a2': 0.762688048022695}","{'a1, a2': -0.6461}",0.4835,0.9998,40,5316.0,132.9,0.0
10,1.0*(a2*(a1*((x0 - 1568.5) * 0.000145275)*exp(((x0 - 1568.5) * 0.000145275)))**(2*tanh(((x0 - 1568.5) * 0.000145275)))),"{'a1': (6.08442e-05, 2.37e-06, -2.37e-06), 'a2': (148.569, 0.713, -0.713)}","{'a1, a2': -1.0817525132767265e-06, 'a1, a1': 5.6293155093610446e-12, 'a2, a2': 0.508390250633275}","{'a1, a2': -0.6402}",0.3934,0.9998,40,3564.0,89.11,0.0
11,1.0*(a2*(a1*((x0 - 1568.5) * 0.000145275)*exp(2*((x0 - 1568.5) * 0.000145275)))**(((x0 - 1568.5) * 0.000145275) + tanh(((x0 - 1568.5) * 0.000145275)))),"{'a1': (5.47913e-05, 1.83e-06, -1.83e-06), 'a2': (148.994, 0.616, -0.616)}","{'a1, a2': -7.152769990844523e-07, 'a1, a1': 3.331185193045735e-12, 'a2, a2': 0.37963379730109875}","{'a1, a2': -0.6345}",0.3562,0.9999,40,2666.0,66.65,0.0
