,"Parameterized equation, unscaled","Parameters: (best-fit, +1, -1)",Covariance,Correlation,RMSE,R2,NDF,Chi2,Chi2/NDF,p-value
0,1.0*(a1),"{'a1': (-0.0797, 0, 0)}",{},{},37.11,-0.218,35,80350000.0,2296000.0,0.0
1,1.0*(a1),"{'a1': (0.000278, 0, 0)}",{},{},37.07,-0.2158,35,6359000.0,181700.0,0.0
2,1.0*(a1**((x0 - 1568.5) * 0.000145275)),"{'a1': (0.000744, 0, 0)}",{},{},36.73,-0.1931,35,6161000.0,176000.0,0.0
3,1.0*(a1**((x0 - 1568.5) * 0.000145275)*a2),"{'a1': (1.26e-06, 0, 0), 'a2': (75.568, 6.25, -6.25)}",{},{},15.49,0.7878,34,1200000.0,35300.0,0.0
4,1.0*(a2**(a1 + ((x0 - 1568.5) * 0.000145275))),"{'a1': (-0.346159, 0.0227, -0.0227), 'a2': (6.89e-05, 0, 0)}",{},{},28.25,0.2939,34,3923000.0,115400.0,0.0
5,1.0*(a2**(a1 + a3*((x0 - 1568.5) * 0.000145275))),"{'a1': (-0.689, 0, 0), 'a2': (0.00075246, 1.81e-05, -1.81e-05), 'a3': (3.2893, 0.0409, -0.0409)}","{'a2, a3': -4.1023686239306564e-07, 'a2, a2': 3.2629197974065944e-10, 'a3, a3': 0.0016756906326589956}","{'a2, a3': -0.5542}",1.466,0.9981,33,28850.0,874.2,0.0
6,1.0*(a2**(a1 + a3*tanh(((x0 - 1568.5) * 0.000145275)))),"{'a1': (-0.689, 0, 0), 'a2': (0.000751809, 1.67e-05, -1.67e-05), 'a3': (3.29696, 0.0378, -0.0378)}","{'a2, a3': -3.494976698931696e-07, 'a2, a2': 2.8030361965513605e-10, 'a3, a3': 0.0014298238686357306}","{'a2, a3': -0.5537}",1.442,0.9982,33,24920.0,755.3,0.0
7,1.0*(a2**(a1 + ((x0 - 1568.5) * 0.000145275) + tanh(a3*((x0 - 1568.5) * 0.000145275)))),"{'a1': (-0.774854, 0.02, -0.02), 'a2': (0.00163843, 0.000269, -0.000269), 'a3': (2.79769, 0.113, -0.113)}","{'a1, a2': -5.367970330708592e-06, 'a1, a3': -0.0021926039143888676, 'a2, a3': 2.8942686130441554e-05, 'a1, a1': 0.00040189124766762895, 'a2, a2': 7.214059239985313e-08, 'a3, a3': 0.012825212348295487}","{'a1, a2': -0.9978, 'a1, a3': -0.9702, 'a2, a3': 0.9522}",1.068,0.999,32,10090.0,315.4,0.0
8,1.0*(a2**(a1 + ((x0 - 1568.5) * 0.000145275) + ((x0 - 1568.5) * 0.000145275)/(a3 + ((x0 - 1568.5) * 0.000145275)))),"{'a1': (-0.571056, 0.00296, -0.00296), 'a2': (0.00015696, 6.95e-06, -6.95e-06), 'a3': (0.471326, 0.00495, -0.00495)}","{'a1, a2': -2.0509525530262746e-08, 'a1, a3': 1.4370853433639262e-05, 'a2, a3': -3.34452223607015e-08, 'a1, a1': 8.751022732270554e-06, 'a2, a2': 4.825362026153916e-11, 'a3, a3': 2.45133472729267e-05}","{'a1, a2': -0.997, 'a1, a3': 0.9808, 'a2, a3': -0.9722}",0.1218,1.0,32,243.3,7.602,2.4640000000000006e-34
9,1.0*(a2**(a1 + ((x0 - 1568.5) * 0.000145275) + (a3 + ((x0 - 1568.5) * 0.000145275))/(a4 + ((x0 - 1568.5) * 0.000145275)))),"{'a1': (-0.572265, 0.00296, -0.00296), 'a2': (0.000156067, 6.89e-06, -6.89e-06), 'a3': (0.000744, 0, 0), 'a4': (0.471007, 0.00494, -0.00494)}","{'a1, a2': -2.0363519749487308e-08, 'a1, a4': 1.4369880094769795e-05, 'a2, a4': -3.310371226849207e-08, 'a1, a1': 8.775992686140511e-06, 'a2, a2': 4.743811645342973e-11, 'a4, a4': 2.4433297646394353e-05}","{'a1, a2': -0.9985, 'a1, a4': 0.9827, 'a2, a4': -0.9726}",0.1215,1.0,32,242.5,7.577,3.4890000000000007e-34
