,Complexity,PySR template spec,PySR equation,Parameterized equation,Parameterization,"Parameters: (best-fit, +1, -1)",Covariance,Correlation,"Parameterized equation, unscaled",RMSE,R2,NDF,Chi2 (before ROF),Chi2,Chi2/NDF (before ROF),Chi2/NDF,p-value (before ROF),p-value
0,2,f = 0.000847308; g = #1; p = [5.0778395e-5],5.08e-5*0.000847**log(7.69e-5*x0),a1*a3**log(a2*x0),"{'a1': 5.08e-05, 'a2': 7.69e-05, 'a3': 0.000847}","{'a1': (5.08e-05, 0, 0), 'a2': (7.58007e-05, 1.43e-06, -1.43e-06), 'a3': (0.000894616, 5.94e-05, -5.94e-05)}","{'a2, a3': -8.460737866786669e-11, 'a2, a2': 2.0465412685531722e-12, 'a3, a3': 3.5270273803835507e-09}","{'a2, a3': -0.9961}",a1*a3**log(a2*x0),1.493,0.9977,40,38930.0,37870.0,973.3,946.8,0.0,0.0
1,4,f = #1 * 4.048923; g = -7.0219626; p = [1.0297734],4.32e+24/x0**7.02,a2*x0**a1,"{'a1': -7.02, 'a2': 4.32e+24}","{'a1': (-7.02, 0, 0), 'a2': (4.26379e+24, 5.08e+22, -5.08e+22)}",{},{},a2*x0**a1,1.497,0.9977,41,39000.0,37870.0,951.3,923.7,0.0,0.0
2,6,f = (#1 + 0.19424161) + #1; g = -11.021241; p = [0.015536785],1080000.0/(0.000792*x0 + 1)**11.0,a3*(a2*x0 + 1)**a1,"{'a1': -11.0, 'a2': 0.000792, 'a3': 1080000.0}","{'a1': (-11.0, 0, 0), 'a2': (0.000796547, 4.53e-06, -4.53e-06), 'a3': (1102750.0, 40900.0, -40900.0)}","{'a2, a3': 0.1848810500350927, 'a2, a2': 2.0559557509711373e-11, 'a3, a3': 1669091717.0163503}","{'a2, a3': 0.9979}",a3*(a2*x0 + 1)**a1,0.2736,0.9999,40,3215.0,1412.0,80.39,35.29,0.0,3.264999999999999e-270
3,8,f = #1 + ((#1 + 0.19474289) * 0.993671); g = -11.021233; p = [0.01496059],1090000.0/(0.000793*x0 + 1)**11.0,a3*(a2*x0 + 1)**a1,"{'a1': -11.0, 'a2': 0.000793, 'a3': 1090000.0}","{'a1': (-11.0, 0, 0), 'a2': (0.000796547, 4.53e-06, -4.53e-06), 'a3': (1102750.0, 40900.0, -40900.0)}","{'a2, a3': 0.1848813041222993, 'a2, a2': 2.0559559759106455e-11, 'a3, a3': 1669096119.40858}","{'a2, a3': 0.9979}",a3*(a2*x0 + 1)**a1,0.2736,0.9999,40,3435.0,1412.0,85.87,35.29,0.0,3.264999999999999e-270
4,10,f = (#1 * ((#1 * #1) * 3.8595417)) + #1; g = -5.7409077; p = [0.0010902415],4.52e+20/(2.28e-8*x0**3 + x0)**5.74,a3*(a2*x0**3 + x0)**a1,"{'a1': -5.74, 'a2': 2.28e-08, 'a3': 4.52e+20}","{'a1': (-5.74, 0, 0), 'a2': (2.29242e-08, 7.81e-11, -7.81e-11), 'a3': (4.49778e+20, 6.91e+17, -6.91e+17)}","{'a2, a3': 50435336.252600916, 'a2, a2': 6.091893850573889e-21, 'a3, a3': 4.778770078487348e+35}","{'a2, a3': 0.9346}",a3*(a2*x0**3 + x0)**a1,0.02582,1.0,40,426.0,78.09,10.65,1.952,4.936e-66,0.0002948
5,12,f = #1 + ((#1 * (#1 * 3.890596)) * (#1 + -0.07381615)); g = -5.9091134; p = [0.00063502626],1.3e+21/(0.000299*x0**2*(7.69e-5*x0 - 0.0738) + x0)**5.91,a5*(a4*x0**2*(a2 + a3*x0) + x0)**a1,"{'a1': -5.91, 'a2': -0.0738, 'a3': 7.69e-05, 'a4': 0.000299, 'a5': 1.3e+21}","{'a1': (-5.91, 0, 0), 'a2': (-0.0738, 0, 0), 'a3': (8.17716e-05, 5.18e-06, -5.18e-06), 'a4': (0.000277021, 2.14e-05, -2.14e-05), 'a5': (1.3175e+21, 1.36e+19, -1.36e+19)}","{'a3, a4': -1.1072343065298495e-10, 'a3, a5': 70285160218420.27, 'a4, a5': -288507989246391.75, 'a3, a3': 2.6877414399463356e-11, 'a4, a4': 4.5706758516093817e-10, 'a5, a5': 1.8537814861120806e+38}","{'a3, a4': -0.9988, 'a3, a5': 0.9977, 'a4, a5': -0.9913}",a5*(a4*x0**2*(a2 + a3*x0) + x0)**a1,0.03517,1.0,39,131.8,63.32,3.379,1.624,5.326e-12,0.008193
6,14,f = ((((#1 + -0.029739877) * 3.887184) * (#1 + -0.04227136)) * #1) + #1; g = -5.9088354; p = [0.0006567615],1.36e+21/(x0*(7.69e-5*x0 - 0.0423)*(0.000299*x0 - 0.116) + x0)**5.91,a6*(x0*(a2 + a5*x0)*(a3 + a4*x0) + x0)**a1,"{'a1': -5.91, 'a2': -0.116, 'a3': -0.0423, 'a4': 7.69e-05, 'a5': 0.000299, 'a6': 1.36e+21}","{'a1': (-5.91978, 0.0124, -0.0124), 'a2': (-0.116, 0, 0), 'a3': (-0.0423, 0, 0), 'a4': (7.69e-05, 0, 0), 'a5': (0.000295233, 4.38e-06, -4.38e-06), 'a6': (1.44531e+21, 1.29e+20, -1.29e+20)}","{'a1, a5': 5.3207088865981514e-08, 'a1, a6': -1.604028115464063e+18, 'a5, a6': -550756620569488.44, 'a1, a1': 0.00015457215800504133, 'a5, a5': 1.9208385665966632e-11, 'a6, a6': 1.6648001756780168e+40}","{'a1, a5': 0.9797, 'a1, a6': -1, 'a5, a6': -0.9748}",a6*(x0*(a2 + a5*x0)*(a3 + a4*x0) + x0)**a1,0.03672,1.0,39,590.1,62.99,15.13,1.615,1.398999999999999e-99,0.008821
7,16,f = (((#1 * ((#1 + -0.027207946) * (#1 + -0.07980208))) * 3.8845878) + #1) * 1.1132448; g = -6.0022187; p = [0.00095432467],7.17e+17/(x0*(7.69e-5*x0 - 0.0798)*(7.69e-5*x0 - 0.0272) + 0.257*x0)**6.0,a6*(a5*x0 + x0*(a2 + a4*x0)*(a3 + a4*x0))**a1,"{'a1': -6.0, 'a2': -0.0798, 'a3': -0.0272, 'a4': 7.69e-05, 'a5': 0.257, 'a6': 7.17e+17}","{'a1': (-6.0, 0, 0), 'a2': (-0.0756072, 0.00373, -0.00373), 'a3': (-0.0272, 0, 0), 'a4': (7.69e-05, 0, 0), 'a5': (0.260647, 0.00366, -0.00366), 'a6': (7.683e+17, 6.98e+16, -6.98e+16)}","{'a2, a5': 1.3164057291764314e-05, 'a2, a6': 252989104907177.62, 'a5, a6': 255456422340728.62, 'a2, a2': 1.3926636968702662e-05, 'a5, a5': 1.3394693429415872e-05, 'a6, a6': 4.875841650232542e+33}","{'a2, a5': 0.9643, 'a2, a6': 0.9717, 'a5, a6': 1.0}",a6*(a5*x0 + x0*(a2 + a4*x0)*(a3 + a4*x0))**a1,0.04453,1.0,39,3820.0,61.99,97.94,1.589,0.0,0.01102
8,18,f = (((((#1 * 7.379921) * ((#1 * #1) + #1)) + #1) * #1) * 0.3365192) + #1; g = -5.7009683; p = [0.0013532519],3.84e+20/(0.337*x0*(0.000568*x0*(5.92e-9*x0**2 + 7.69e-5*x0) + 7.69e-5*x0) + x0)**5.7,a6*(a5*x0*(a3*x0 + a4*x0*(a2*x0**2 + a3*x0)) + x0)**a1,"{'a1': -5.7, 'a2': 5.92e-09, 'a3': 7.69e-05, 'a4': 0.000568, 'a5': 0.337, 'a6': 3.84e+20}","{'a1': (-5.7, 0, 0), 'a2': (5.92e-09, 0, 0), 'a3': (7.69e-05, 0, 0), 'a4': (0.000551201, 3.6e-05, -3.6e-05), 'a5': (0.344921, 0.0177, -0.0177), 'a6': (3.83357e+20, 3.36e+18, -3.36e+18)}","{'a4, a5': -6.355651112150391e-07, 'a4, a6': -118706308135185.27, 'a5, a6': 5.890069363802254e+16, 'a4, a4': 1.2935165564338607e-09, 'a5, a5': 0.000313223039972398, 'a6, a6': 1.1275164449287815e+37}","{'a4, a5': -0.9974, 'a4, a6': -0.9814, 'a5, a6': 0.9904}",a6*(a5*x0*(a3*x0 + a4*x0*(a2*x0**2 + a3*x0)) + x0)**a1,0.03545,1.0,39,242.8,52.37,6.226,1.343,2.9030000000000002e-31,0.07459
9,20,f = (((#1 * (#1 + ((#1 * 7.379921) * (#1 + (#1 * #1))))) * 0.3365192) + #1) * 1.0077587; g = -5.7009645; p = [0.001414221],3.84e+20/(0.337*x0*(0.000568*x0*(5.92e-9*x0**2 + 7.69e-5*x0) + 7.69e-5*x0) + x0)**5.7,a6*(a5*x0*(a3*x0 + a4*x0*(a2*x0**2 + a3*x0)) + x0)**a1,"{'a1': -5.7, 'a2': 5.92e-09, 'a3': 7.69e-05, 'a4': 0.000568, 'a5': 0.337, 'a6': 3.84e+20}","{'a1': (-5.7, 0, 0), 'a2': (5.92e-09, 0, 0), 'a3': (7.69e-05, 0, 0), 'a4': (0.000551201, 3.6e-05, -3.6e-05), 'a5': (0.344921, 0.0177, -0.0177), 'a6': (3.83357e+20, 3.36e+18, -3.36e+18)}","{'a4, a5': -6.355651112150391e-07, 'a4, a6': -118706308135185.27, 'a5, a6': 5.890069363802254e+16, 'a4, a4': 1.2935165564338607e-09, 'a5, a5': 0.000313223039972398, 'a6, a6': 1.1275164449287815e+37}","{'a4, a5': -0.9974, 'a4, a6': -0.9814, 'a5, a6': 0.9904}",a6*(a5*x0*(a3*x0 + a4*x0*(a2*x0**2 + a3*x0)) + x0)**a1,0.03545,1.0,39,242.8,52.37,6.226,1.343,2.9030000000000002e-31,0.07459
10,22,f = (#1 * (((#1 * ((((#1 * #1) * #1) + #1) * (#1 + 7.4330883))) + #1) * 0.3935468)) + #1; g = -5.655779; p = [0.0015656799],3.03e+20/(x0*(3.03e-5*x0*(7.69e-5*x0 + 7.43)*(4.55e-13*x0**3 + 7.69e-5*x0) + 3.03e-5*x0) + x0)**5.66,a6*(x0*(a3*x0*(a2*x0**3 + a4*x0)*(a4*x0 + a5) + a3*x0) + x0)**a1,"{'a1': -5.66, 'a2': 4.55e-13, 'a3': 3.03e-05, 'a4': 7.69e-05, 'a5': 7.43, 'a6': 3.03e+20}","{'a1': (-5.66, 0, 0), 'a2': (4.55e-13, 0, 0), 'a3': (2.90315e-05, 1.56e-06, -1.56e-06), 'a4': (7.69e-05, 0, 0), 'a5': (7.8163, 0.562, -0.562), 'a6': (2.96622e+20, 2.76e+18, -2.76e+18)}","{'a3, a5': -8.787776403453511e-07, 'a3, a6': 4284326536206.3115, 'a5, a6': -1.528946951212225e+18, 'a3, a3': 2.448790039843823e-12, 'a5, a5': 0.3160777337787326, 'a6, a6': 7.612952544133508e+36}","{'a3, a5': -1, 'a3, a6': 0.9951, 'a5, a6': -0.9857}",a6*(x0*(a3*x0*(a2*x0**3 + a4*x0)*(a4*x0 + a5) + a3*x0) + x0)**a1,0.03575,1.0,39,959.3,45.73,24.6,1.173,7.273999999999997e-176,0.2128
11,24,f = (((#1 + ((#1 * ((#1 * (#1 * #1)) + #1)) * ((#1 * 1.1679703) + 7.433081))) * #1) * 0.3934341) + #1; g = -5.652187; p = [0.0015775614],2.82e+20/(0.393*x0*(7.69e-5*x0*(8.98e-5*x0 + 7.43)*(4.55e-13*x0**3 + 7.69e-5*x0) + 7.69e-5*x0) + x0)**5.65,a7*(a5*x0*(a3*x0*(a2*x0**3 + a3*x0)*(a4*x0 + a6) + a3*x0) + x0)**a1,"{'a1': -5.65, 'a2': 4.55e-13, 'a3': 7.69e-05, 'a4': 8.98e-05, 'a5': 0.393, 'a6': 7.43, 'a7': 2.82e+20}","{'a1': (-5.65, 0, 0), 'a2': (4.55e-13, 0, 0), 'a3': (7.69e-05, 0, 0), 'a4': (8.98e-05, 0, 0), 'a5': (0.40515, 0.0209, -0.0209), 'a6': (7.16935, 0.507, -0.507), 'a7': (2.79392e+20, 2.64e+18, -2.64e+18)}","{'a5, a6': -0.01056172798546536, 'a5, a7': 5.472024910590873e+16, 'a6, a7': -1.3184128943651082e+18, 'a5, a5': 0.00043587733738634563, 'a6, a6': 0.2565488436052721, 'a7, a7': 6.973351191632643e+36}","{'a5, a6': -0.9967, 'a5, a7': 0.9917, 'a6, a7': -0.985}",a7*(a5*x0*(a3*x0*(a2*x0**3 + a3*x0)*(a4*x0 + a6) + a3*x0) + x0)**a1,0.03552,1.0,39,1867.0,45.48,47.87,1.166,0.0,0.2202
