,Complexity,PySR equation,Parameterized equation,Parameterization,"Parameters: (best-fit, +1, -1)",Covariance,Correlation,"Parameterized equation, unscaled",RMSE,R2,NDF,Chi2 (before ROF),Chi2,Chi2/NDF (before ROF),Chi2/NDF,p-value (before ROF),p-value
0,1,0.145,a1,{'a1': 0.145},"{'a1': (0.145, 0, 0)}",{},{},164.796*(a1),257.7,-0.4263,20,2676.0,2676.0,133.8,133.8,0.0,0.0
1,2,0.210,a1,{'a1': 0.21},"{'a1': (0.21, 0, 0)}",{},{},164.796*(a1),252.0,-0.3639,20,2615.0,2615.0,130.8,130.8,0.0,0.0
2,3,0.210,a1,{'a1': 0.21},"{'a1': (0.21, 0, 0)}",{},{},164.796*(a1),252.0,-0.3639,20,2615.0,2615.0,130.8,130.8,0.0,0.0
3,4,0.53*gauss(x0),a1*gauss(x0),{'a1': 0.53},"{'a1': (0.53, 0, 0)}",{},{},164.796*(a1*gauss(((x0 - 12.5) * 0.00210526))),228.1,-0.1167,20,2561.0,2561.0,128.1,128.1,0.0,0.0
4,5,0.272*gauss(x0),a1*gauss(x0),{'a1': 0.272},"{'a1': (0.272, 0, 0)}",{},{},164.796*(a1*gauss(((x0 - 12.5) * 0.00210526))),247.9,-0.3193,20,2453.0,2453.0,122.7,122.7,0.0,0.0
5,6,0.255*gauss(x0*x0),a1*gauss(x0**2),{'a1': 0.255},"{'a1': (0.255, 0, 0)}",{},{},164.796*(a1*gauss(((x0 - 12.5) * 0.00210526)**2)),248.1,-0.3218,20,2421.0,2421.0,121.1,121.1,0.0,0.0
6,7,gauss(-0.671*x0) - 0.575,a2 + gauss(a1*x0),"{'a1': -0.671, 'a2': -0.575}","{'a1': (-0.671, 0, 0), 'a2': (-0.576492, 0.0879, -0.0879)}",{},{},164.796*(a2 + gauss(a1*((x0 - 12.5) * 0.00210526))),235.9,-0.1953,19,2341.0,2341.0,123.2,123.2,0.0,0.0
7,8,gauss(4.16*x0 - 1.25) + 0.0912,a2 + gauss(a1 + a3*x0),"{'a1': -1.25, 'a2': 0.0912, 'a3': 4.16}","{'a1': (-1.25, 0, 0), 'a2': (0.0912, 0, 0), 'a3': (4.33713, 0.599, -0.599)}",{},{},164.796*(a2 + gauss(a1 + a3*((x0 - 12.5) * 0.00210526))),198.7,0.152,19,1402.0,1395.0,73.77,73.43,5.581999999999999e-286,1.3399999999999997e-284
8,10,5.54*x0*gauss(2.62*x0) + 0.0761,a1 + a3*x0*gauss(a2*x0),"{'a1': 0.0761, 'a2': 2.62, 'a3': 5.54}","{'a1': (0.0761, 0, 0), 'a2': (3.70861, 0.197, -0.197), 'a3': (23.3005, 3.23, -3.23)}","{'a2, a3': 0.4757797186462422, 'a2, a2': 0.03891338568451408, 'a3, a3': 10.432765521365523}","{'a2, a3': 0.7477}",164.796*(a1 + a3*((x0 - 12.5) * 0.00210526)*gauss(a2*((x0 - 12.5) * 0.00210526))),98.45,0.7919,18,1290.0,383.1,71.69,21.28,4.7099999999999984e-263,3.0239999999999995e-70
9,11,15.8*x0*gauss(3.93*x0) + gauss(-1.43),a3*x0*gauss(a2*x0) + gauss(a1),"{'a1': -1.43, 'a2': 3.93, 'a3': 15.8}","{'a1': (-1.51337, 0.129, -0.129), 'a2': (3.74326, 0.211, -0.211), 'a3': (23.3141, 3.33, -3.33)}","{'a1, a2': 0.005841930248109482, 'a1, a3': -0.012403045690337714, 'a2, a3': 0.5067112745812459, 'a1, a1': 0.01661672652750206, 'a2, a2': 0.04465257522462592, 'a3, a3': 11.089931994124907}","{'a1, a2': 0.2146, 'a1, a3': -0.02887, 'a2, a3': 0.7212}",164.796*(a3*((x0 - 12.5) * 0.00210526)*gauss(a2*((x0 - 12.5) * 0.00210526)) + gauss(a1)),98.01,0.7937,17,708.0,374.3,41.65,22.02,1.6959999999999993e-139,4.3279999999999993e-69
10,12,23.3*x0*gauss(-3.74*x0) + 0.101,a2 + a3*x0*gauss(a1*x0),"{'a1': -3.74, 'a2': 0.101, 'a3': 23.3}","{'a1': (-3.74293, 0.201, -0.201), 'a2': (0.101, 0, 0), 'a3': (23.314, 3.23, -3.23)}","{'a1, a3': -0.4824733994577959, 'a1, a1': 0.040206799676489366, 'a3, a3': 10.462243228099114}","{'a1, a3': -0.7431}",164.796*(a2 + a3*((x0 - 12.5) * 0.00210526)*gauss(a1*((x0 - 12.5) * 0.00210526))),98.02,0.7937,18,374.3,374.3,20.79,20.79,2.06e-68,2.066e-68
