,"Parameterized equation, unscaled","Parameters: (best-fit, +1, -1)",Correlation,RMSE,R2,NDF,Chi2,Chi2/NDF
0,1.0*(a1),"{'a1': (0.000272, 0, 0)}",{},37.07,-0.2158,35,6359000.0,181700.0
1,1.0*(a1**((x0 - 1568.5) * 0.000145275)),"{'a1': (0.000778, 0, 0)}",{},36.73,-0.1931,35,6161000.0,176000.0
2,1.0*(a2**(a1 + ((x0 - 1568.5) * 0.000145275))),"{'a1': (-0.349657, 0.0197, -0.0197), 'a2': (4.9e-05, 0, 0)}",{},26.91,0.3593,34,3594000.0,105700.0
3,1.0*(a2**(a1 + exp(((x0 - 1568.5) * 0.000145275)))),"{'a1': (-1.44, 0, 0), 'a2': (8.98556e-05, 3.07e-05, -3.07e-05)}",{},19.04,0.6793,34,2737000.0,80490.0
4,1.0*(a2**(a1 + a3*((x0 - 1568.5) * 0.000145275))),"{'a1': (-0.502, 0, 0), 'a2': (5.16349e-05, 1.81746e-06, -1.73518e-06), 'a3': (2.39655, 0.032188, -0.0316303)}","{'a2, a3': -0.5557}",1.466,0.9981,33,28850.0,874.2
5,1.0*(a2**(a1 + a3*tanh(((x0 - 1568.5) * 0.000145275)))),"{'a1': (-0.502, 0, 0), 'a2': (5.15735e-05, 1.68285e-06, -1.61221e-06), 'a3': (2.40214, 0.0297874, -0.0292914)}","{'a2, a3': -0.5498}",1.442,0.9982,33,24920.0,755.3
6,1.0*(a2**(a1 + a3*tanh(((x0 - 1568.5) * 0.000145275)))),"{'a1': (-0.498, 0, 0), 'a2': (4.76419e-05, 1.56716e-06, -1.50116e-06), 'a3': (2.383, 0.0295523, -0.0290557)}","{'a2, a3': -0.5519}",1.442,0.9982,33,24920.0,755.3
7,1.0*(a2**(((x0 - 1568.5) * 0.000145275) + (a1 + ((x0 - 1568.5) * 0.000145275))*exp(-((x0 - 1568.5) * 0.000145275)))),"{'a1': (-0.499216, 0.00492935, -0.00496226), 'a2': (4.7456e-05, 5.59873e-06, -5.06778e-06)}","{'a1, a2': -0.9874}",1.034,0.9991,33,11530.0,349.3
8,1.0*(a2**(a1 + ((x0 - 1568.5) * 0.000145275) + ((x0 - 1568.5) * 0.000145275)/(a3 + ((x0 - 1568.5) * 0.000145275)))),"{'a1': (-0.571056, 0.00296356, -0.00292968), 'a2': (0.00015696, 6.99137e-06, -6.83945e-06), 'a3': (0.471326, 0.0050117, -0.00488129)}","{'a1, a2': -0.997, 'a1, a3': 0.9808, 'a2, a3': -0.9722}",0.1218,1.0,32,243.3,7.602
9,1.0*(a2**(a1 + ((x0 - 1568.5) * 0.000145275) + tanh(((x0 - 1568.5) * 0.000145275)/(a3 + ((x0 - 1568.5) * 0.000145275))))),"{'a1': (-0.538106, 0.00323277, -0.00317854), 'a2': (9.21418e-05, 5.02788e-06, -4.90507e-06), 'a3': (0.522409, 0.00672661, -0.00650227)}","{'a1, a2': -0.9967, 'a1, a3': 0.9768, 'a2, a3': -0.9655}",0.1839,1.0,32,408.0,12.75
10,1.0*(a2**(a1 + a4*((x0 - 1568.5) * 0.000145275) + ((x0 - 1568.5) * 0.000145275)/(a3 + ((x0 - 1568.5) * 0.000145275)))),"{'a1': (-0.889641, 0.0298, -0.0298), 'a2': (0.00359819, 0.000676, -0.000676), 'a3': (0.339232, 0.00876, -0.00876), 'a4': (2.00351, 0.0978, -0.0978)}","{'a1, a2': -0.9991, 'a1, a3': 0.9907, 'a1, a4': -0.998, 'a2, a3': -0.9917, 'a2, a4': 0.9994, 'a3, a4': -0.985}",0.02686,1.0,31,39.47,1.273
