,"Parameterized equation, unscaled","Parameters: (best-fit, +1, -1)",Correlation,RMSE,R2,NDF,Chi2,Chi2/NDF
0,1.0*(a1),"{'a1': (0.00032, 0, 0)}",{},33.85,-0.1823,42,6557000.0,156100.0
1,1.0*(a1**((x0 - 1568.5) * 0.000145275)),"{'a1': (0.00102, 0, 0)}",{},33.53,-0.16,42,6309000.0,150200.0
2,1.0*(a1**((x0 - 1568.5) * 0.000145275)*a2),"{'a1': (0.000163, 0, 0), 'a2': (15.2158, 3.98, -3.98)}",{},29.26,0.1165,41,4834000.0,117900.0
3,1.0*(a1**((x0 - 1568.5) * 0.000145275)*a2),"{'a1': (0.000163, 0, 0), 'a2': (15.2158, 3.98, -3.98)}",{},29.26,0.1165,41,4834000.0,117900.0
4,1.0*(a2**(a1 + a3*((x0 - 1568.5) * 0.000145275))),"{'a1': (-2.76, 0, 0), 'a2': (0.167581, 0.00123818, -0.00121449), 'a3': (12.7553, 0.179314, -0.174105)}","{'a2, a3': -0.5084}",1.947,0.9961,40,50260.0,1257.0
5,1.0*(a2**(a1 + a3*tanh(((x0 - 1568.5) * 0.000145275)))),"{'a1': (-2.18, 0, 0), 'a2': (0.104056, 0.000884268, -0.000867377), 'a3': (10.1263, 0.127364, -0.123902)}","{'a2, a3': -0.5013}",1.874,0.9964,40,42060.0,1051.0
6,1.0*(a2**(a1 + a3*tanh(((x0 - 1568.5) * 0.000145275)))),"{'a1': (-2.06, 0, 0), 'a2': (0.0912058, 0.000820403, -0.000804362), 'a3': (9.56887, 0.120356, -0.117079)}","{'a2, a3': -0.4996}",1.874,0.9964,40,42060.0,1051.0
7,1.0*((a2*exp(((x0 - 1568.5) * 0.000145275)))**(a1 + a3*((x0 - 1568.5) * 0.000145275))),"{'a1': (-2.85457, 0.11981, -0.0993519), 'a2': (0.175704, 0.0103807, -0.0127158), 'a3': (12.5419, 0.45174, -0.526375)}","{'a1, a2': -1, 'a1, a3': -0.9919, 'a2, a3': 0.9882}",1.1,0.9988,39,13660.0,350.3
8,1.0*((a2 + a3*((x0 - 1568.5) * 0.000145275))**(a1 + a4*((x0 - 1568.5) * 0.000145275))),"{'a1': (-0.866919, 0.0242601, -0.0249511), 'a2': (0.00309991, 0.000545526, -0.000476323), 'a3': (0.0254735, 0.00336499, -0.00307933), 'a4': (3.6445, 0.105637, -0.102596)}","{'a1, a2': -0.999, 'a1, a3': -0.9971, 'a1, a4': -1, 'a2, a3': 0.998, 'a2, a4': 1, 'a3, a4': 1}",0.0622,1.0,38,113.9,2.998
9,1.0*((a2*tanh(a3 + ((x0 - 1568.5) * 0.000145275)))**(a1 + a4*((x0 - 1568.5) * 0.000145275))),"{'a1': (-1.01258, 0.0279393, -0.0291274), 'a2': (0.0502094, 0.00550004, -0.00506442), 'a3': (0.14278, 0.00520297, -0.00497539), 'a4': (4.2531, 0.123004, -0.117913)}","{'a1, a2': -0.9993, 'a1, a3': -0.9872, 'a1, a4': -0.9993, 'a2, a3': 0.9775, 'a2, a4': 0.9969, 'a3, a4': 0.9877}",0.04144,1.0,38,64.56,1.699
10,1.0*((a2 + a3*((x0 - 1568.5) * 0.000145275))**(a1 + a4*((x0 - 1568.5) * 0.000145275))),"{'a1': (-0.866918, 0.0242597, -0.0249516), 'a2': (0.0030999, 0.000545535, -0.000476313), 'a3': (0.0254735, 0.00336505, -0.00307928), 'a4': (3.64449, 0.105639, -0.102594)}","{'a1, a2': -0.9991, 'a1, a3': -0.9971, 'a1, a4': -1, 'a2, a3': 0.9981, 'a2, a4': 1, 'a3, a4': 1}",0.06219,1.0,38,113.9,2.998
11,1.0*((a2*tanh(a3 + a4*((x0 - 1568.5) * 0.000145275)))**(a1 + a5*((x0 - 1568.5) * 0.000145275))),"{'a1': (-1.59685, 0.243, -0.243), 'a2': (0.119421, 0.0358, -0.0358), 'a3': (0.381837, 0.0749, -0.0749), 'a4': (1.79147, 0.138, -0.138), 'a5': (6.69608, 1.02, -1.02)}","{'a1, a2': -0.9973, 'a1, a3': -0.9949, 'a1, a4': -0.9476, 'a1, a5': -0.9954, 'a2, a3': 0.9894, 'a2, a4': 0.9303, 'a2, a5': 0.9945, 'a3, a4': 0.9718, 'a3, a5': 0.992, 'a4, a5': 0.9444}",0.02212,1.0,37,36.05,0.9743
12,1.0*((a2 + a3*((x0 - 1568.5) * 0.000145275))**(a1 + a4*((x0 - 1568.5) * 0.000145275))),"{'a1': (-0.866921, 0.0242629, -0.0249483), 'a2': (0.00309996, 0.000545468, -0.000476381), 'a3': (0.0254739, 0.00336462, -0.0030797), 'a4': (3.64451, 0.105625, -0.102608)}","{'a1, a2': -0.9991, 'a1, a3': -0.9972, 'a1, a4': -1, 'a2, a3': 0.9981, 'a2, a4': 1, 'a3, a4': 1}",0.0622,1.0,38,113.9,2.998
13,1.0*((a2 + a3*tanh(a4*((x0 - 1568.5) * 0.000145275)))**(a1 + a5*((x0 - 1568.5) * 0.000145275))),"{'a1': (-1.1776, 0.06, -0.06), 'a2': (0.0142497, 0.00309, -0.00309), 'a3': (0.0404802, 0.00381, -0.00381), 'a4': (2.04204, 0.165, -0.165), 'a5': (4.93839, 0.25, -0.25)}","{'a1, a2': -0.9992, 'a1, a3': -0.926, 'a1, a4': -0.8848, 'a1, a5': -1, 'a2, a3': 0.9262, 'a2, a4': 0.8846, 'a2, a5': 1, 'a3, a4': 0.6462, 'a3, a5': 0.929, 'a4, a5': 0.8841}",0.02235,1.0,37,36.1,0.9758
14,1.0*((a2 + a3*tanh(a4*((x0 - 1568.5) * 0.000145275)))**(a1 + a5*((x0 - 1568.5) * 0.000145275))),"{'a1': (-1.1776, 0.06, -0.06), 'a2': (0.0142497, 0.00309, -0.00309), 'a3': (0.0404802, 0.00381, -0.00381), 'a4': (2.04204, 0.165, -0.165), 'a5': (4.93839, 0.25, -0.25)}","{'a1, a2': -0.9992, 'a1, a3': -0.926, 'a1, a4': -0.8848, 'a1, a5': -1, 'a2, a3': 0.9262, 'a2, a4': 0.8846, 'a2, a5': 1, 'a3, a4': 0.6462, 'a3, a5': 0.929, 'a4, a5': 0.8841}",0.02235,1.0,37,36.1,0.9758
