,Complexity,PySR equation,Parameterized equation,Parameterization,"Parameters: (best-fit, +1, -1)",Correlation,"Parameterized equation, unscaled",RMSE,R2,NDF,Chi2 (before refit),Chi2,Chi2/NDF (before refit),Chi2/NDF
0,1,0.000278,a1,{'a1': 0.000278},"{'a1': (0.000278, 0, 0)}",{},1.0*(a1),37.07,-0.2158,35,6359000.0,6359000.0,181700.0,181700.0
1,3,0.000699**x0,a1**x0,{'a1': 0.000699},"{'a1': (0.000699, 0, 0)}",{},1.0*(a1**((x0 - 1568.5) * 0.000145275)),36.73,-0.1932,35,6161000.0,6161000.0,176000.0,176000.0
2,4,0.000764**x0,a1**x0,{'a1': 0.000764},"{'a1': (0.000764, 0, 0)}",{},1.0*(a1**((x0 - 1568.5) * 0.000145275)),36.73,-0.1931,35,6161000.0,6161000.0,176000.0,176000.0
3,5,4.67e-5**(x0 - 0.344),a2**(a1 + x0),"{'a1': -0.344, 'a2': 4.67e-05}","{'a1': (-0.349981, 0.0193, -0.0193), 'a2': (4.67e-05, 0, 0)}",{},1.0*(a2**(a1 + ((x0 - 1568.5) * 0.000145275))),26.72,0.3682,34,3557000.0,3548000.0,104600.0,104300.0
4,6,4.98e-5**(exp(x0) - 1.38),a2**(a1 + exp(x0)),"{'a1': -1.38, 'a2': 4.98e-05}","{'a1': (-1.4008, 0.0119, -0.0119), 'a2': (4.98e-05, 0, 0)}",{},1.0*(a2**(a1 + exp(((x0 - 1568.5) * 0.000145275)))),20.92,0.6128,34,2197000.0,2048000.0,64630.0,60240.0
5,7,4.92e-5**(2.38*x0 - 0.499),a2**(a1 + a3*x0),"{'a1': -0.499, 'a2': 4.92e-05, 'a3': 2.38}","{'a1': (-0.499, 0, 0), 'a2': (4.86597e-05, 1.72318e-06, -1.64489e-06), 'a3': (2.38223, 0.0319963, -0.0314405)}","{'a2, a3': -0.5567}",1.0*(a2**(a1 + a3*((x0 - 1568.5) * 0.000145275))),1.466,0.9981,33,28960.0,28850.0,877.5,874.2
6,8,4.92e-5**(2.38*tanh(x0) - 0.499),a2**(a1 + a3*tanh(x0)),"{'a1': -0.499, 'a2': 4.92e-05, 'a3': 2.38}","{'a1': (-0.499, 0, 0), 'a2': (4.86016e-05, 1.5955e-06, -1.52835e-06), 'a3': (2.38778, 0.0296108, -0.0291149)}","{'a2, a3': -0.5534}",1.0*(a2**(a1 + a3*tanh(((x0 - 1568.5) * 0.000145275)))),1.442,0.9982,33,25040.0,24920.0,758.8,755.3
7,10,4.98e-5**((x0 - 0.242)/tanh(x0 + 0.518)),a2**((a1 + x0)/tanh(a3 + x0)),"{'a1': -0.242, 'a2': 4.98e-05, 'a3': 0.518}","{'a1': (-0.244149, 0.00146485, -0.00146334), 'a2': (4.98e-05, 0, 0), 'a3': (0.525436, 0.00445063, -0.00441887)}","{'a1, a3': -0.9764}",1.0*(a2**((a1 + ((x0 - 1568.5) * 0.000145275))/tanh(a3 + ((x0 - 1568.5) * 0.000145275)))),0.4282,0.9998,33,9597.0,8657.0,290.8,262.3
8,11,4.98e-5**(x0 + x0/(x0 + 0.632) - 0.499),a2**(a1 + x0 + x0/(a3 + x0)),"{'a1': -0.499, 'a2': 4.98e-05, 'a3': 0.632}","{'a1': (-0.571057, 0.00296364, -0.0029296), 'a2': (0.00015696, 6.99118e-06, -6.83963e-06), 'a3': (0.471325, 0.00501183, -0.00488116)}","{'a1, a2': -0.997, 'a1, a3': 0.9808, 'a2, a3': -0.9722}",1.0*(a2**(a1 + ((x0 - 1568.5) * 0.000145275) + ((x0 - 1568.5) * 0.000145275)/(a3 + ((x0 - 1568.5) * 0.000145275)))),0.1217,1.0,32,9699.0,243.3,303.1,7.602
9,12,4.92e-5**((x0 - 0.24)/tanh(0.761*x0 + 0.518)),a2**((a1 + x0)/tanh(a3 + a4*x0)),"{'a1': -0.24, 'a2': 4.92e-05, 'a3': 0.518, 'a4': 0.761}","{'a1': (-0.235202, 0.000718788, -0.000714139), 'a2': (4.92e-05, 0, 0), 'a3': (0.505944, 0.00185146, -0.00185756), 'a4': (0.675223, 0.0182317, -0.0182439)}","{'a1, a3': -0.9814, 'a1, a4': -0.7826, 'a3, a4': 0.6945}",1.0*(a2**((a1 + ((x0 - 1568.5) * 0.000145275))/tanh(a3 + a4*((x0 - 1568.5) * 0.000145275)))),0.2407,0.9999,32,1979.0,767.3,61.84,23.98
10,14,4.98e-5**((1.03*x0 - 0.24)/tanh(0.612*x0 + 0.518)),a2**((a1 + a5*x0)/tanh(a3 + a4*x0)),"{'a1': -0.24, 'a2': 4.98e-05, 'a3': 0.518, 'a4': 0.612, 'a5': 1.03}","{'a1': (-0.343369, 0.00262546, -0.00254649), 'a2': (4.98e-05, 0, 0), 'a3': (0.828413, 0.00936981, -0.00953872), 'a4': (1.70294, 0.044879, -0.0445304), 'a5': (1.43926, 0.0102246, -0.0105386)}","{'a1, a3': -0.9987, 'a1, a4': -0.9793, 'a1, a5': -0.9974, 'a3, a4': 0.9779, 'a3, a5': 0.9979, 'a4, a5': 0.9628}",1.0*(a2**((a1 + a5*((x0 - 1568.5) * 0.000145275))/tanh(a3 + a4*((x0 - 1568.5) * 0.000145275)))),0.02613,1.0,31,1469.0,30.02,47.4,0.9683
11,15,1.07e-5**((x0 - 0.24)/tanh(x0 + 0.617)),a2**((a1 + x0)/tanh(a3 + x0)),"{'a1': -0.24, 'a2': 1.07e-05, 'a3': 0.617}","{'a1': (-0.23635, 0.000461211, -0.000457905), 'a2': (6.22378e-06, 6.42398e-07, -5.95236e-07), 'a3': (0.642462, 0.00597226, -0.00581487)}","{'a1, a2': -0.7915, 'a1, a3': 0.6557, 'a2, a3': -0.9794}",1.0*(a2**((a1 + ((x0 - 1568.5) * 0.000145275))/tanh(a3 + ((x0 - 1568.5) * 0.000145275)))),0.1718,1.0,32,1124.0,333.6,35.12,10.42
