,Complexity,PySR equation,Parameterized equation,Parameterization,"Parameters: (best-fit, +1, -1)",Correlation,"Parameterized equation, unscaled",RMSE,R2,NDF,Chi2 (before refit),Chi2,Chi2/NDF (before refit),Chi2/NDF
0,1,0.000119,a1,{'a1': 0.000119},"{'a1': (0.000119, 0, 0)}",{},1.0*(a1),1.586,-0.1838,44,323500.0,323500.0,7353.0,7353.0
1,3,7.36e-6**x0,a1**x0,{'a1': 7.36e-06},"{'a1': (7.36e-06, 0, 0)}",{},1.0*(a1**((x0 - 1568.5) * 0.000136221)),1.301,0.2029,44,186200.0,186200.0,4231.0,4231.0
2,4,exp(-11.8*x0),exp(a1*x0),{'a1': -11.8},"{'a1': (-11.7528, 1.55, -1.55)}",{},1.0*(exp(a1*((x0 - 1568.5) * 0.000136221))),1.301,0.2033,43,186200.0,186200.0,4330.0,4329.0
3,5,2.29*6.88e-6**x0,a1**x0*a2,"{'a1': 6.88e-06, 'a2': 2.29}","{'a1': (6.88e-06, 0, 0), 'a2': (2.17294, 0.273, -0.273)}",{},1.0*(a1**((x0 - 1568.5) * 0.000136221)*a2),0.9834,0.5446,43,130700.0,130100.0,3039.0,3026.0
4,6,6.57*exp(-23.1*x0),a2*exp(a1*x0),"{'a1': -23.1, 'a2': 6.57}","{'a1': (-22.9406, 0.308441, -0.315441), 'a2': (6.53015, 0.110473, -0.109654)}","{'a1, a2': -0.6845}",1.0*(a2*exp(a1*((x0 - 1568.5) * 0.000136221))),0.07683,0.9972,42,1854.0,1843.0,44.15,43.88
5,9,0.000119**(2*x0)/(x0 + 0.152),a1**(2*x0)/(a2 + x0),"{'a1': 0.000119, 'a2': 0.152}","{'a1': (0.000112318, 9.23586e-06, -8.66592e-06), 'a2': (0.148636, 0.00161259, -0.00158514)}","{'a1, a2': 0.5274}",1.0*(a1**(2*((x0 - 1568.5) * 0.000136221))/(a2 + ((x0 - 1568.5) * 0.000136221))),0.04364,0.9991,42,830.1,747.9,19.76,17.81
6,10,6.83*(9.48e-5*x0)**(2*x0),a2*(a1*x0)**(2*x0),"{'a1': 9.48e-05, 'a2': 6.83}","{'a1': (7.32869e-05, 4.42968e-06, -4.22189e-06), 'a2': (6.93508, 0.0481248, -0.047991)}","{'a1, a2': -0.6521}",1.0*(a2*(a1*((x0 - 1568.5) * 0.000136221))**(2*((x0 - 1568.5) * 0.000136221))),0.02166,0.9998,42,535.8,353.7,12.76,8.423
7,13,0.000108**(2*tanh(x0))/(tanh(x0) + 0.151),a1**(2*tanh(x0))/(a2 + tanh(x0)),"{'a1': 0.000108, 'a2': 0.151}","{'a1': (0.000103071, 6.66003e-06, -6.33824e-06), 'a2': (0.148, 0.00128438, -0.0012669)}","{'a1, a2': 0.5219}",1.0*(a1**(2*tanh(((x0 - 1568.5) * 0.000136221)))/(a2 + tanh(((x0 - 1568.5) * 0.000136221)))),0.03834,0.9993,42,556.7,488.7,13.25,11.63
8,14,(0.000108*exp(x0))**(x0 + tanh(x0))/(x0 + 0.151),(a1*exp(x0))**(x0 + tanh(x0))/(a2 + x0),"{'a1': 0.000108, 'a2': 0.151}","{'a1': (9.39557e-05, 5.58776e-06, -5.33538e-06), 'a2': (0.14761, 0.00119075, -0.00117548)}","{'a1, a2': 0.5177}",1.0*((a1*exp(((x0 - 1568.5) * 0.000136221)))**(((x0 - 1568.5) * 0.000136221) + tanh(((x0 - 1568.5) * 0.000136221)))/(a2 + ((x0 - 1568.5) * 0.000136221))),0.03519,0.9994,42,520.8,426.0,12.4,10.14
9,15,(0.000108*exp(x0))**(2*tanh(x0))/(x0 + 0.151),(a1*exp(x0))**(2*tanh(x0))/(a2 + x0),"{'a1': 0.000108, 'a2': 0.151}","{'a1': (8.98377e-05, 4.66621e-06, -4.48332e-06), 'a2': (0.147262, 0.00104597, -0.00103419)}","{'a1, a2': 0.5109}",1.0*((a1*exp(((x0 - 1568.5) * 0.000136221)))**(2*tanh(((x0 - 1568.5) * 0.000136221)))/(a2 + ((x0 - 1568.5) * 0.000136221))),0.03231,0.9995,42,472.4,333.9,11.25,7.95
10,16,(0.000108*x0 + 8.69e-5)**(2*tanh(x0))/tanh(x0 + 0.152),(a1 + a2*x0)**(2*tanh(x0))/tanh(a3 + x0),"{'a1': 8.69e-05, 'a2': 0.000108, 'a3': 0.152}","{'a1': (3.64365e-05, 3.76868e-06, -3.65174e-06), 'a2': (0.000392159, 2.49477e-05, -2.51573e-05), 'a3': (0.144608, 0.000605339, -0.000605776)}","{'a1, a2': -0.8392, 'a1, a3': 0.6718, 'a2, a3': -0.4312}",1.0*((a1 + a2*((x0 - 1568.5) * 0.000136221))**(2*tanh(((x0 - 1568.5) * 0.000136221)))/tanh(a3 + ((x0 - 1568.5) * 0.000136221))),0.008038,1.0,41,414.0,74.72,10.1,1.822
11,19,(6.61*exp(-24.0*x0))**(1.01*exp(-0.746*x0)),(a4*exp(a1*x0))**(a3*exp(a2*x0)),"{'a1': -24.0, 'a2': -0.746, 'a3': 1.01, 'a4': 6.61}","{'a1': (-24.0, 0, 0), 'a2': (-0.740798, 0.027771, -0.0265647), 'a3': (1.01008, 0.00489747, -0.00489143), 'a4': (6.72195, 0.0437345, -0.0433759)}","{'a2, a3': -0.6554, 'a2, a4': 0.5483, 'a3, a4': -0.805}",1.0*((a4*exp(a1*((x0 - 1568.5) * 0.000136221)))**(a3*exp(a2*((x0 - 1568.5) * 0.000136221)))),0.0213,0.9998,41,273.7,186.9,6.677,4.56
12,21,(6.86*exp(-24.0*x0))**exp(x0*(x0 - 1.02)),(a3*exp(a1*x0))**exp(x0*(a2 + x0)),"{'a1': -24.0, 'a2': -1.02, 'a3': 6.86}","{'a1': (-24.6006, 0.060929, -0.0609994), 'a2': (-1.16023, 0.0172926, -0.0170469), 'a3': (6.9518, 0.0194572, -0.0194459)}","{'a1, a2': 0.6928, 'a1, a3': -0.7296, 'a2, a3': -0.4773}",1.0*((a3*exp(a1*((x0 - 1568.5) * 0.000136221)))**exp(((x0 - 1568.5) * 0.000136221)*(a2 + ((x0 - 1568.5) * 0.000136221)))),0.008226,1.0,41,167.9,43.54,4.095,1.062
13,23,(6.86*exp(-24.0*x0))**exp(x0*(0.944*x0 - 1.02)),(a4*exp(a1*x0))**exp(x0*(a2 + a3*x0)),"{'a1': -24.0, 'a2': -1.02, 'a3': 0.944, 'a4': 6.86}","{'a1': (-24.634, 0.0675351, -0.0676996), 'a2': (-1.20944, 0.0465466, -0.0464936), 'a3': (1.14014, 0.124208, -0.123316), 'a4': (6.96177, 0.021309, -0.0212761)}","{'a1, a2': 0.6297, 'a1, a3': -0.4227, 'a1, a4': -0.7735, 'a2, a3': -0.926, 'a2, a4': -0.5379, 'a3, a4': 0.4025}",1.0*((a4*exp(a1*((x0 - 1568.5) * 0.000136221)))**exp(((x0 - 1568.5) * 0.000136221)*(a2 + a3*((x0 - 1568.5) * 0.000136221)))),0.008044,1.0,40,163.9,42.14,4.098,1.053
