,"Parameterized equation, unscaled","Parameters: (best-fit, +1, -1)",Correlation,RMSE,R2,NDF,Chi2,Chi2/NDF
0,1.0*(a1),"{'a1': (0.000119, 0, 0)}",{},1.586,-0.1838,44,323500.0,7353.0
1,1.0*(a1**((x0 - 1568.5) * 0.000136221)),"{'a1': (7.36e-06, 0, 0)}",{},1.301,0.2029,44,186200.0,4231.0
2,1.0*(exp(a1*((x0 - 1568.5) * 0.000136221))),"{'a1': (-11.7528, 1.55, -1.55)}",{},1.301,0.2033,43,186200.0,4329.0
3,1.0*(a1**((x0 - 1568.5) * 0.000136221)*a2),"{'a1': (6.88e-06, 0, 0), 'a2': (2.17294, 0.273, -0.273)}",{},0.9834,0.5446,43,130100.0,3026.0
4,1.0*(a2*exp(a1*((x0 - 1568.5) * 0.000136221))),"{'a1': (-22.9406, 0.308441, -0.315441), 'a2': (6.53015, 0.110473, -0.109654)}","{'a1, a2': -0.6845}",0.07683,0.9972,42,1843.0,43.88
5,1.0*(a1**(2*((x0 - 1568.5) * 0.000136221))/(a2 + ((x0 - 1568.5) * 0.000136221))),"{'a1': (0.000112318, 9.23586e-06, -8.66592e-06), 'a2': (0.148636, 0.00161259, -0.00158514)}","{'a1, a2': 0.5274}",0.04364,0.9991,42,747.9,17.81
6,1.0*(a2*(a1*((x0 - 1568.5) * 0.000136221))**(2*((x0 - 1568.5) * 0.000136221))),"{'a1': (7.32869e-05, 4.42968e-06, -4.22189e-06), 'a2': (6.93508, 0.0481248, -0.047991)}","{'a1, a2': -0.6521}",0.02166,0.9998,42,353.7,8.423
7,1.0*(a1**(2*tanh(((x0 - 1568.5) * 0.000136221)))/(a2 + tanh(((x0 - 1568.5) * 0.000136221)))),"{'a1': (0.000103071, 6.66003e-06, -6.33824e-06), 'a2': (0.148, 0.00128438, -0.0012669)}","{'a1, a2': 0.5219}",0.03834,0.9993,42,488.7,11.63
8,1.0*((a1*exp(((x0 - 1568.5) * 0.000136221)))**(((x0 - 1568.5) * 0.000136221) + tanh(((x0 - 1568.5) * 0.000136221)))/(a2 + ((x0 - 1568.5) * 0.000136221))),"{'a1': (9.39557e-05, 5.58776e-06, -5.33538e-06), 'a2': (0.14761, 0.00119075, -0.00117548)}","{'a1, a2': 0.5177}",0.03519,0.9994,42,426.0,10.14
9,1.0*((a1*exp(((x0 - 1568.5) * 0.000136221)))**(2*tanh(((x0 - 1568.5) * 0.000136221)))/(a2 + ((x0 - 1568.5) * 0.000136221))),"{'a1': (8.98377e-05, 4.66621e-06, -4.48332e-06), 'a2': (0.147262, 0.00104597, -0.00103419)}","{'a1, a2': 0.5109}",0.03231,0.9995,42,333.9,7.95
10,1.0*((a1 + a2*((x0 - 1568.5) * 0.000136221))**(2*tanh(((x0 - 1568.5) * 0.000136221)))/tanh(a3 + ((x0 - 1568.5) * 0.000136221))),"{'a1': (3.64365e-05, 3.76868e-06, -3.65174e-06), 'a2': (0.000392159, 2.49477e-05, -2.51573e-05), 'a3': (0.144608, 0.000605339, -0.000605776)}","{'a1, a2': -0.8392, 'a1, a3': 0.6718, 'a2, a3': -0.4312}",0.008038,1.0,41,74.72,1.822
11,1.0*((a4*exp(a1*((x0 - 1568.5) * 0.000136221)))**(a3*exp(a2*((x0 - 1568.5) * 0.000136221)))),"{'a1': (-24.0, 0, 0), 'a2': (-0.740798, 0.027771, -0.0265647), 'a3': (1.01008, 0.00489747, -0.00489143), 'a4': (6.72195, 0.0437345, -0.0433759)}","{'a2, a3': -0.6554, 'a2, a4': 0.5483, 'a3, a4': -0.805}",0.0213,0.9998,41,186.9,4.56
12,1.0*((a3*exp(a1*((x0 - 1568.5) * 0.000136221)))**exp(((x0 - 1568.5) * 0.000136221)*(a2 + ((x0 - 1568.5) * 0.000136221)))),"{'a1': (-24.6006, 0.060929, -0.0609994), 'a2': (-1.16023, 0.0172926, -0.0170469), 'a3': (6.9518, 0.0194572, -0.0194459)}","{'a1, a2': 0.6928, 'a1, a3': -0.7296, 'a2, a3': -0.4773}",0.008226,1.0,41,43.54,1.062
13,1.0*((a4*exp(a1*((x0 - 1568.5) * 0.000136221)))**exp(((x0 - 1568.5) * 0.000136221)*(a2 + a3*((x0 - 1568.5) * 0.000136221)))),"{'a1': (-24.634, 0.0675351, -0.0676996), 'a2': (-1.20944, 0.0465466, -0.0464936), 'a3': (1.14014, 0.124208, -0.123316), 'a4': (6.96177, 0.021309, -0.0212761)}","{'a1, a2': 0.6297, 'a1, a3': -0.4227, 'a1, a4': -0.7735, 'a2, a3': -0.926, 'a2, a4': -0.5379, 'a3, a4': 0.4025}",0.008044,1.0,40,42.14,1.053
