,Complexity,PySR equation,Parameterized equation,Parameterization,"Parameters: (best-fit, +1, -1)",Correlation,"Parameterized equation, unscaled",RMSE,R2,NDF,Chi2 (before refit),Chi2,Chi2/NDF (before refit),Chi2/NDF
0,1,9.09e-5,a1,{'a1': 9.09e-05},"{'a1': (9.09e-05, 0, 0)}",{},1.0*(a1),1.729,-0.2215,37,318800.0,318800.0,8617.0,8617.0
1,3,1.12e-5**x0,a1**x0,{'a1': 1.12e-05},"{'a1': (1.12e-05, 0, 0)}",{},1.0*(a1**((x0 - 1568.5) * 0.000136221)),1.417,0.1801,37,184700.0,184700.0,4992.0,4992.0
2,4,exp(-11.4*x0),exp(a1*x0),{'a1': -11.4},"{'a1': (-11.361, 1.79, -1.79)}",{},1.0*(exp(a1*((x0 - 1568.5) * 0.000136221))),1.416,0.1804,36,184700.0,184700.0,5131.0,5131.0
3,5,2.24*1.07e-5**x0,a1**x0*a2,"{'a1': 1.07e-05, 'a2': 2.24}","{'a1': (1.07e-05, 0, 0), 'a2': (2.3289, 0.303, -0.303)}",{},1.0*(a1**((x0 - 1568.5) * 0.000136221)*a2),1.025,0.5707,36,120600.0,120300.0,3349.0,3341.0
4,6,7.0*exp(-25.6*x0),a2*exp(a1*x0),"{'a1': -25.6, 'a2': 7.0}","{'a1': (-23.4619, 0.269432, -0.273106), 'a2': (6.63485, 0.0911154, -0.0906869)}","{'a1, a2': -0.695}",1.0*(a2*exp(a1*((x0 - 1568.5) * 0.000136221))),0.06456,0.9983,35,2701.0,999.7,77.17,28.56
5,7,0.115**(10.8*x0 - 0.867),a2**(a1 + a3*x0),"{'a1': -0.867, 'a2': 0.115, 'a3': 10.8}","{'a1': (-0.867, 0, 0), 'a2': (0.112745, 0.0018039, -0.00175987), 'a3': (10.7494, 0.0889335, -0.0873464)}","{'a2, a3': -0.07559}",1.0*(a2**(a1 + a3*((x0 - 1568.5) * 0.000136221))),0.06455,0.9983,35,1060.0,999.7,30.29,28.56
6,8,0.115**(10.8*tanh(x0) - 0.867),a2**(a1 + a3*tanh(x0)),"{'a1': -0.867, 'a2': 0.115, 'a3': 10.8}","{'a1': (-0.867, 0, 0), 'a2': (0.112493, 0.0016347, -0.0015986), 'a3': (10.787, 0.0806671, -0.0793387)}","{'a2, a3': -0.06886}",1.0*(a2**(a1 + a3*tanh(((x0 - 1568.5) * 0.000136221)))),0.06185,0.9984,35,890.2,830.9,25.44,23.74
7,9,6.79*(9.09e-5*x0)**(2*x0),a2*(a1*x0)**(2*x0),"{'a1': 9.09e-05, 'a2': 6.79}","{'a1': (6.44003e-05, 3.45575e-06, -3.30157e-06), 'a2': (6.98797, 0.0391222, -0.0390356)}","{'a1, a2': -0.672}",1.0*(a2*(a1*((x0 - 1568.5) * 0.000136221))**(2*((x0 - 1568.5) * 0.000136221))),0.01789,0.9999,35,424.6,181.6,12.13,5.187
8,10,9.09e-5**(x0 + tanh(x0))/(x0 + 0.147),a1**(x0 + tanh(x0))/(a2 + x0),"{'a1': 9.09e-05, 'a2': 0.147}","{'a1': (9.35739e-05, 6.1747e-06, -5.85156e-06), 'a2': (0.147023, 0.00117085, -0.00115639)}","{'a1, a2': 0.551}",1.0*(a1**(((x0 - 1568.5) * 0.000136221) + tanh(((x0 - 1568.5) * 0.000136221)))/(a2 + ((x0 - 1568.5) * 0.000136221))),0.03341,0.9995,35,331.3,328.6,9.467,9.389
9,11,9.09e-5**(2*tanh(x0))/(x0 + 0.147),a1**(2*tanh(x0))/(a2 + x0),"{'a1': 9.09e-05, 'a2': 0.147}","{'a1': (9.1159e-05, 5.37755e-06, -5.12648e-06), 'a2': (0.146856, 0.00105152, -0.00103994)}","{'a1, a2': 0.5472}",1.0*(a1**(2*tanh(((x0 - 1568.5) * 0.000136221)))/(a2 + ((x0 - 1568.5) * 0.000136221))),0.03187,0.9996,35,267.8,267.4,7.65,7.641
10,12,9.09e-5**(2*tanh(x0))/(tanh(x0) + 0.147),a1**(2*tanh(x0))/(a2 + tanh(x0)),"{'a1': 9.09e-05, 'a2': 0.147}","{'a1': (9.02811e-05, 5.17856e-06, -4.94384e-06), 'a2': (0.146799, 0.00102394, -0.00101301)}","{'a1, a2': 0.5472}",1.0*(a1**(2*tanh(((x0 - 1568.5) * 0.000136221)))/(a2 + tanh(((x0 - 1568.5) * 0.000136221)))),0.03135,0.9996,35,254.5,254.2,7.272,7.263
11,13,6.84*(6.99e-5*x0)**(x0 + tanh(x0)),a2*(a1*x0)**(x0 + tanh(x0)),"{'a1': 6.99e-05, 'a2': 6.84}","{'a1': (6.19072e-05, 2.76496e-06, -2.66134e-06), 'a2': (6.99945, 0.0329005, -0.0328452)}","{'a1, a2': -0.6705}",1.0*(a2*(a1*((x0 - 1568.5) * 0.000136221))**(((x0 - 1568.5) * 0.000136221) + tanh(((x0 - 1568.5) * 0.000136221)))),0.0176,0.9999,35,221.3,129.2,6.323,3.692
12,14,6.92*(6.99e-5*x0)**(x0 + tanh(x0)),a2*(a1*x0)**(x0 + tanh(x0)),"{'a1': 6.99e-05, 'a2': 6.92}","{'a1': (6.19072e-05, 2.76496e-06, -2.66134e-06), 'a2': (6.99945, 0.0329005, -0.0328452)}","{'a1, a2': -0.6705}",1.0*(a2*(a1*((x0 - 1568.5) * 0.000136221))**(((x0 - 1568.5) * 0.000136221) + tanh(((x0 - 1568.5) * 0.000136221)))),0.0176,0.9999,35,160.9,129.2,4.596,3.692
13,16,(0.115*tanh(2*x0) + 0.106)**(10.7*x0 - 0.855),(a2 + a3*tanh(2*x0))**(a1 + a4*x0),"{'a1': -0.855, 'a2': 0.106, 'a3': 0.115, 'a4': 10.7}","{'a1': (-0.855, 0, 0), 'a2': (0.103779, 0.000366199, -0.0003641), 'a3': (0.124394, 0.00357356, -0.00362125), 'a4': (10.8452, 0.019842, -0.0197704)}","{'a2, a3': -0.4602, 'a2, a4': -0.2628, 'a3, a4': 0.5076}",1.0*((a2 + a3*tanh(2*((x0 - 1568.5) * 0.000136221)))**(a1 + a4*((x0 - 1568.5) * 0.000136221))),0.01006,1.0,34,132.8,37.73,3.906,1.11
14,17,(0.115*tanh(2*x0) + 0.105)**(10.7*x0 - 0.855),(a2 + a3*tanh(2*x0))**(a1 + a4*x0),"{'a1': -0.855, 'a2': 0.105, 'a3': 0.115, 'a4': 10.7}","{'a1': (-0.855, 0, 0), 'a2': (0.103779, 0.000366199, -0.0003641), 'a3': (0.124394, 0.00357355, -0.00362125), 'a4': (10.8452, 0.019842, -0.0197704)}","{'a2, a3': -0.4602, 'a2, a4': -0.2628, 'a3, a4': 0.5076}",1.0*((a2 + a3*tanh(2*((x0 - 1568.5) * 0.000136221)))**(a1 + a4*((x0 - 1568.5) * 0.000136221))),0.01006,1.0,34,107.8,37.73,3.17,1.11
15,19,(0.115*tanh(2.08*x0) + 0.106)**(10.8*x0 + tanh(x0**2 - 1.27)),(a2 + a3*tanh(a4*x0))**(a5*x0 + tanh(a1 + x0**2)),"{'a1': -1.27, 'a2': 0.106, 'a3': 0.115, 'a4': 2.08, 'a5': 10.8}","{'a1': (-1.27, 0, 0), 'a2': (0.103136, 0.000368997, -0.000367691), 'a3': (0.109789, 0.00984502, -0.00820695), 'a4': (2.53141, 0.28773, -0.28324), 'a5': (10.8176, 0.0191346, -0.0190664)}","{'a2, a3': 0.1671, 'a2, a4': -0.3401, 'a2, a5': -0.313, 'a3, a4': -0.9417, 'a3, a5': 0.01504, 'a4, a5': 0.1669}",1.0*((a2 + a3*tanh(a4*((x0 - 1568.5) * 0.000136221)))**(a5*((x0 - 1568.5) * 0.000136221) + tanh(a1 + ((x0 - 1568.5) * 0.000136221)**2))),0.008844,1.0,33,94.92,32.29,2.876,0.9786
