,"Parameterized equation, unscaled","Parameters: (best-fit, +1, -1)",Correlation,RMSE,R2,NDF,Chi2,Chi2/NDF
0,1.0*(a1),"{'a1': (0.033, 0, 0)}",{},8.085,-0.2584,169,4002.0,23.68
1,1.0*(a1**((x0 - 503.0) * 0.000286615)),"{'a1': (0.0044, 0, 0)}",{},7.724,-0.1486,169,3420.0,20.24
2,1.0*(a1**((x0 - 503.0) * 0.000286615)),"{'a1': (0.00431, 0, 0)}",{},7.724,-0.1487,169,3420.0,20.24
3,1.0*(a2**(a1 + ((x0 - 503.0) * 0.000286615))),"{'a1': (-0.232731, 0.0103, -0.0103), 'a2': (0.000343, 0, 0)}",{},5.943,0.32,168,2142.0,12.75
4,1.0*(a2*exp(a1*((x0 - 503.0) * 0.000286615))),"{'a1': (-21.8773, 0.358898, -0.366459), 'a2': (30.0308, 0.584561, -0.579068)}","{'a1, a2': -0.7288}",0.8116,0.9873,167,103.4,0.6193
5,1.0*(a2**(a1 + a3*((x0 - 503.0) * 0.000286615))),"{'a1': (-1.22, 0, 0), 'a2': (0.0615005, 0.00098957, -0.000964031), 'a3': (7.84499, 0.101509, -0.0991892)}","{'a2, a3': -0.4769}",0.8116,0.9873,167,103.4,0.6193
6,1.0*(a2**(a1 + a3*tanh(((x0 - 503.0) * 0.000286615)))),"{'a1': (-1.15, 0, 0), 'a2': (0.0517897, 0.000860473, -0.000838557), 'a3': (7.42539, 0.092768, -0.0904823)}","{'a2, a3': -0.4735}",0.8042,0.9875,167,98.79,0.5915
7,1.0*(a2**(a1 + tanh(((x0 - 503.0) * 0.000286615)))),"{'a1': (-0.154874, 0.00175, -0.00175), 'a2': (2.83641e-10, 9.08e-11, -9.08e-11)}","{'a1, a2': -0.9512}",0.8042,0.9875,167,98.79,0.5915
8,1.0*((a2*exp(a3*((x0 - 503.0) * 0.000286615)))**(a1 + ((x0 - 503.0) * 0.000286615))),"{'a1': (-0.159631, 0.00161, -0.00161), 'a2': (4.13294e-10, 1.14e-10, -1.14e-10), 'a3': (16.7538, 0.875, -0.875)}","{'a1, a2': -0.9482, 'a1, a3': 0.291, 'a2, a3': -0.3767}",0.7103,0.9903,166,73.18,0.4408
9,1.0*(a1**((x0 - 503.0) * 0.000286615)/(a2 + ((x0 - 503.0) * 0.000286615)**a3)),"{'a1': (1.23608e-05, 4.3388e-06, -3.351e-06), 'a2': (0.0303621, 0.000669047, -0.000656528), 'a3': (1.16175, 0.0213548, -0.0200576)}","{'a1, a2': -0.4051, 'a1, a3': -0.8137, 'a2, a3': 0.7049}",0.6831,0.991,166,65.83,0.3966
10,1.0*(a1**((x0 - 503.0) * 0.000286615)/(a2 + ((x0 - 503.0) * 0.000286615)**a3)),"{'a1': (1.23608e-05, 4.3388e-06, -3.351e-06), 'a2': (0.0303621, 0.000669047, -0.000656528), 'a3': (1.16175, 0.0213548, -0.0200576)}","{'a1, a2': -0.4051, 'a1, a3': -0.8137, 'a2, a3': 0.7049}",0.6831,0.991,166,65.83,0.3966
11,1.0*(a1**((x0 - 503.0) * 0.000286615)/(a2 + a3*((x0 - 503.0) * 0.000286615)**a4)),"{'a1': (1.14e-05, 0, 0), 'a2': (0.0305728, 0.000731079, -0.000722594), 'a3': (1.0421, 0.129537, -0.111178), 'a4': (1.18276, 0.0487977, -0.046868)}","{'a2, a3': 0.5643, 'a2, a4': 0.6919, 'a3, a4': 0.9671}",0.6761,0.9912,166,65.81,0.3964
12,1.0*(a1**tanh(((x0 - 503.0) * 0.000286615))/(a2 + a3*((x0 - 503.0) * 0.000286615)**a4)),"{'a1': (1.14e-05, 0, 0), 'a2': (0.0307065, 0.000718813, -0.000710254), 'a3': (1.10973, 0.13536, -0.116368), 'a4': (1.20495, 0.0481282, -0.0462263)}","{'a2, a3': 0.557, 'a2, a4': 0.6875, 'a3, a4': 0.9651}",0.6719,0.9913,166,64.55,0.3888
13,1.0*(a1**((x0 - 503.0) * 0.000286615)/(a2 + a4*(((x0 - 503.0) * 0.000286615)**2)**a3)),"{'a1': (3.38e-05, 0, 0), 'a2': (0.0309952, 0.000712073, -0.000702263), 'a3': (0.636993, 0.0230848, -0.0222276), 'a4': (1.51345, 0.17794, -0.153841)}","{'a2, a3': 0.6726, 'a2, a4': 0.5492, 'a3, a4': 0.9672}",0.6652,0.9915,166,64.45,0.3882
14,1.0*(a1**((x0 - 503.0) * 0.000286615)/(a2 + tanh(a4*(((x0 - 503.0) * 0.000286615)**2)**a3))),"{'a1': (3.25e-05, 0, 0), 'a2': (0.031045, 0.00071209, -0.000702367), 'a3': (0.640457, 0.0235326, -0.0226292), 'a4': (1.5365, 0.18499, -0.159305)}","{'a2, a3': 0.6719, 'a2, a4': 0.5501, 'a3, a4': 0.9681}",0.6641,0.9915,166,64.22,0.3868
