,"Parameterized equation, unscaled","Parameters: (best-fit, +1, -1)",Correlation,RMSE,R2,NDF,Chi2,Chi2/NDF
0,1.0*(a1),"{'a1': (0.0234, 0, 0)}",{},8.911,-0.3049,139,3836.0,27.6
1,1.0*(a1**((x0 - 503.0) * 0.000286615)),"{'a1': (0.00287, 0, 0)}",{},8.518,-0.1923,139,3359.0,24.17
2,1.0*(a2**(a1 + ((x0 - 503.0) * 0.000286615))),"{'a1': (-0.260206, 0.0127, -0.0127), 'a2': (0.0006, 0, 0)}",{},6.351,0.3373,138,2110.0,15.29
3,1.0*(a2**(a1 + ((x0 - 503.0) * 0.000286615))),"{'a1': (-0.260206, 0.0126, -0.0126), 'a2': (0.0006, 0, 0)}",{},6.351,0.3373,138,2110.0,15.29
4,1.0*(a2**(a1 + a3*((x0 - 503.0) * 0.000286615))),"{'a1': (-1.15, 0, 0), 'a2': (0.050531, 0.000821272, -0.000799392), 'a3': (7.65409, 0.108654, -0.107006)}","{'a2, a3': -0.557}",0.7981,0.9895,137,69.71,0.5089
5,1.0*(a2**(a1 + a3*tanh(((x0 - 503.0) * 0.000286615)))),"{'a1': (-1.09, 0, 0), 'a2': (0.0428641, 0.000720781, -0.000701611), 'a3': (7.26619, 0.100624, -0.0990196)}","{'a2, a3': -0.556}",0.7972,0.9896,137,67.33,0.4914
6,1.0*(a2**(a1 + a3*tanh(2*((x0 - 503.0) * 0.000286615)))),"{'a1': (-1.03, 0, 0), 'a2': (0.0355928, 0.000585029, -0.00057101), 'a3': (3.45568, 0.0432996, -0.0424735)}","{'a2, a3': -0.5389}",0.7911,0.9897,137,59.37,0.4334
7,1.0*((a2 + a3*((x0 - 503.0) * 0.000286615))**(a1 + a4*((x0 - 503.0) * 0.000286615))),"{'a1': (-0.928, 0, 0), 'a2': (0.0229248, 0.000436868, -0.000426033), 'a3': (0.164312, 0.0172786, -0.0178468), 'a4': (5.64858, 0.0745588, -0.0710383)}","{'a2, a3': -0.5203, 'a2, a4': -0.1012, 'a3, a4': -0.4619}",0.7515,0.9907,136,46.79,0.344
8,1.0*((a2 + a3*tanh(((x0 - 503.0) * 0.000286615)))**(a1 + a4*((x0 - 503.0) * 0.000286615))),"{'a1': (-0.928, 0, 0), 'a2': (0.0228978, 0.000439021, -0.000428155), 'a3': (0.167928, 0.0179254, -0.018473), 'a4': (5.63594, 0.0758816, -0.0722131)}","{'a2, a3': -0.5261, 'a2, a4': -0.08164, 'a3, a4': -0.4818}",0.7526,0.9907,136,46.87,0.3447
9,1.0*((a2*tanh(a2 + ((x0 - 503.0) * 0.000286615)))**(a1 + a3*((x0 - 503.0) * 0.000286615))),"{'a1': (-0.790326, 0.117, -0.117), 'a2': (0.109026, 0.0368, -0.0368), 'a3': (4.78654, 0.757, -0.757)}","{'a1, a2': -0.9983, 'a1, a3': -0.9945, 'a2, a3': 0.9968}",0.756,0.9906,136,47.14,0.3466
10,1.0*((a2*tanh(a3 + ((x0 - 503.0) * 0.000286615)))**(a1 + a4*((x0 - 503.0) * 0.000286615))),"{'a1': (-0.852, 0, 0), 'a2': (0.140236, 0.0147752, -0.0151167), 'a3': (0.116701, 0.0158591, -0.0125226), 'a4': (5.15645, 0.0713845, -0.067814)}","{'a2, a3': -0.9924, 'a2, a4': -0.5158, 'a3, a4': 0.4524}",0.7564,0.9906,136,47.02,0.3457
11,1.0*((a2*tanh(a3 + ((x0 - 503.0) * 0.000286615)))**(a1 + a4*((x0 - 503.0) * 0.000286615))),"{'a1': (-0.852, 0, 0), 'a2': (0.140236, 0.0147752, -0.0151167), 'a3': (0.116701, 0.0158591, -0.0125226), 'a4': (5.15645, 0.0713845, -0.067814)}","{'a2, a3': -0.9924, 'a2, a4': -0.5158, 'a3, a4': 0.4524}",0.7564,0.9906,136,47.02,0.3457
