,Complexity,PySR equation,Parameterized equation,Parameterization,"Parameters: (best-fit, +1, -1)",Correlation,"Parameterized equation, unscaled",RMSE,R2,NDF,Chi2 (before refit),Chi2,Chi2/NDF (before refit),Chi2/NDF
0,1,0.0234,a1,{'a1': 0.0234},"{'a1': (0.0234, 0, 0)}",{},1.0*(a1),8.911,-0.3049,139,3836.0,3836.0,27.6,27.6
1,3,0.00297**x0,a1**x0,{'a1': 0.00297},"{'a1': (0.00297, 0, 0)}",{},1.0*(a1**((x0 - 503.0) * 0.000286615)),8.517,-0.1922,139,3359.0,3359.0,24.17,24.17
2,5,9.93*0.000161**x0,a1**x0*a2,"{'a1': 0.000161, 'a2': 9.93}","{'a1': (0.000161, 0, 0), 'a2': (9.94538, 0.694, -0.694)}",{},1.0*(a1**((x0 - 503.0) * 0.000286615)*a2),5.384,0.5236,138,1545.0,1545.0,11.2,11.2
3,7,0.0696**(8.63*x0 - 1.29),a2**(a1 + a3*x0),"{'a1': -1.29, 'a2': 0.0696, 'a3': 8.63}","{'a1': (-1.29, 0, 0), 'a2': (0.0698646, 0.00101139, -0.000986135), 'a3': (8.5859, 0.121879, -0.120035)}","{'a2, a3': -0.5586}",1.0*(a2**(a1 + a3*((x0 - 503.0) * 0.000286615))),0.7981,0.9895,137,69.78,69.71,0.5094,0.5089
4,8,0.0424**(7.28*tanh(x0) - 1.09),a2**(a1 + a3*tanh(x0)),"{'a1': -1.09, 'a2': 0.0424, 'a3': 7.28}","{'a1': (-1.09, 0, 0), 'a2': (0.0428641, 0.000720783, -0.000701609), 'a3': (7.26619, 0.100624, -0.0990199)}","{'a2, a3': -0.556}",1.0*(a2**(a1 + a3*tanh(((x0 - 503.0) * 0.000286615)))),0.7972,0.9896,137,67.59,67.33,0.4934,0.4914
5,9,0.0424**(7.28*tanh(x0) - 1.09),a2**(a1 + a3*tanh(x0)),"{'a1': -1.09, 'a2': 0.0424, 'a3': 7.28}","{'a1': (-1.09, 0, 0), 'a2': (0.0428641, 0.000720783, -0.000701609), 'a3': (7.26619, 0.100624, -0.0990199)}","{'a2, a3': -0.556}",1.0*(a2**(a1 + a3*tanh(((x0 - 503.0) * 0.000286615)))),0.7972,0.9896,137,67.59,67.33,0.4934,0.4914
6,10,(0.25*exp(x0))**(15.8*x0 - 2.49),(a2*exp(x0))**(a1 + a3*x0),"{'a1': -2.49, 'a2': 0.25, 'a3': 15.8}","{'a1': (-2.66194, 0.132801, -0.09709), 'a2': (0.272556, 0.0122948, -0.0176114), 'a3': (16.9152, 0.686447, -0.865607)}","{'a1, a2': -0.9979, 'a1, a3': -0.9789, 'a2, a3': 0.967}",1.0*((a2*exp(((x0 - 503.0) * 0.000286615)))**(a1 + a3*((x0 - 503.0) * 0.000286615))),0.7561,0.9906,136,52.51,51.9,0.3861,0.3816
7,11,0.00519**(2*x0)/(x0**1.14 + 0.0305),a1**(2*x0)/(a2 + x0**a3),"{'a1': 0.00519, 'a2': 0.0305, 'a3': 1.14}","{'a1': (0.00380078, 0.000785739, -0.000700725), 'a2': (0.0304162, 0.000636708, -0.000625336), 'a3': (1.16002, 0.0226811, -0.0207773)}","{'a1, a2': -0.3977, 'a1, a3': -0.838, 'a2, a3': 0.6905}",1.0*(a1**(2*((x0 - 503.0) * 0.000286615))/(a2 + ((x0 - 503.0) * 0.000286615)**a3)),0.7437,0.9909,136,48.3,47.03,0.3552,0.3458
8,12,2.09*0.0749**(5.25*x0)/(x0 + 0.0627),a2**(a4*x0)*a3/(a1 + x0),"{'a1': 0.0627, 'a2': 0.0749, 'a3': 2.09, 'a4': 5.25}","{'a1': (0.0533011, 0.00647557, -0.00519175), 'a2': (0.0749, 0, 0), 'a3': (1.80911, 0.192102, -0.153396), 'a4': (4.86399, 0.258309, -0.233116)}","{'a1, a3': 0.9896, 'a1, a4': 0.8942, 'a3, a4': 0.9309}",1.0*(a2**(a4*((x0 - 503.0) * 0.000286615))*a3/(a1 + ((x0 - 503.0) * 0.000286615))),0.7885,0.9898,136,50.4,49.58,0.3706,0.3646
9,13,0.021**(3*x0)/(x0**1.18 + 0.0305),a1**(3*x0)/(a2 + x0**a3),"{'a1': 0.021, 'a2': 0.0305, 'a3': 1.18}","{'a1': (0.0243547, 0.00325042, -0.00309385), 'a2': (0.0304162, 0.000636717, -0.000625327), 'a3': (1.16002, 0.0226813, -0.0207771)}","{'a1, a2': -0.3979, 'a1, a3': -0.8384, 'a2, a3': 0.6905}",1.0*(a1**(3*((x0 - 503.0) * 0.000286615))/(a2 + ((x0 - 503.0) * 0.000286615)**a3)),0.7437,0.9909,136,47.49,47.03,0.3492,0.3458
10,14,0.021**(2*x0 + tanh(x0))/(x0**1.18 + 0.0305),a1**(2*x0 + tanh(x0))/(a2 + x0**a3),"{'a1': 0.021, 'a2': 0.0305, 'a3': 1.18}","{'a1': (0.0236608, 0.00312996, -0.00299121), 'a2': (0.0304542, 0.000633726, -0.000622482), 'a3': (1.16346, 0.0227208, -0.0207868)}","{'a1, a2': -0.3955, 'a1, a3': -0.8392, 'a2, a3': 0.6912}",1.0*(a1**(2*((x0 - 503.0) * 0.000286615) + tanh(((x0 - 503.0) * 0.000286615)))/(a2 + ((x0 - 503.0) * 0.000286615)**a3)),0.742,0.991,136,47.12,46.8,0.3465,0.3441
11,15,0.00961**(2.26*x0 + 0.0738)/(x0**1.26 + 0.022),a1**(a3 + a5*x0)/(a2 + x0**a4),"{'a1': 0.00961, 'a2': 0.022, 'a3': 0.0738, 'a4': 1.26, 'a5': 2.26}","{'a1': (0.00961, 0, 0), 'a2': (0.022, 0, 0), 'a3': (0.0730443, 0.00443645, -0.00446017), 'a4': (1.24722, 0.0245915, -0.023193), 'a5': (2.20145, 0.0790767, -0.0727297)}","{'a3, a4': 0.779, 'a3, a5': 0.2254, 'a4, a5': 0.6907}",1.0*(a1**(a3 + a5*((x0 - 503.0) * 0.000286615))/(a2 + ((x0 - 503.0) * 0.000286615)**a4)),0.7288,0.9913,136,46.42,46.23,0.3413,0.3399
