,Complexity,PySR equation,Parameterized equation,Parameterization,"Parameters: (best-fit, +1, -1)",Correlation,"Parameterized equation, unscaled",RMSE,R2,NDF,Chi2 (before refit),Chi2,Chi2/NDF (before refit),Chi2/NDF
0,1,0.206,a1,{'a1': 0.206},"{'a1': (0.206, 0, 0)}",{},164.796*(a1),252.4,-0.3676,20,2615.0,2615.0,130.8,130.8
1,2,0.207,a1,{'a1': 0.207},"{'a1': (0.207, 0, 0)}",{},164.796*(a1),252.3,-0.3667,20,2615.0,2615.0,130.8,130.8
2,4,0.22*gauss(x0),a1*gauss(x0),{'a1': 0.22},"{'a1': (0.369516, 0.138, -0.138)}",{},164.796*(a1*gauss(((x0 - 12.5) * 0.00210526))),240.1,-0.2373,19,2539.0,2390.0,133.6,125.8
3,5,gauss(-0.952)*gauss(x0),gauss(a1)*gauss(x0),{'a1': -0.952},"{'a1': (-0.997778, 0.187, -0.187)}",{},164.796*(gauss(a1)*gauss(((x0 - 12.5) * 0.00210526))),240.1,-0.2373,19,2398.0,2390.0,126.2,125.8
4,6,0.351*gauss(x0),a1*gauss(x0),{'a1': 0.351},"{'a1': (0.369516, 0.138, -0.138)}",{},164.796*(a1*gauss(((x0 - 12.5) * 0.00210526))),240.1,-0.2373,19,2393.0,2390.0,125.9,125.8
5,7,gauss(1.01)*gauss(x0),gauss(a1)*gauss(x0),{'a1': 1.01},"{'a1': (0.997778, 0.187, -0.187)}",{},164.796*(gauss(a1)*gauss(((x0 - 12.5) * 0.00210526))),240.1,-0.2373,19,2391.0,2390.0,125.8,125.8
6,8,3.15*x0*gauss(2*x0),a1*x0*gauss(2*x0),{'a1': 3.15},"{'a1': (4.07546, 0.981, -0.981)}",{},164.796*(a1*((x0 - 12.5) * 0.00210526)*gauss(2*((x0 - 12.5) * 0.00210526))),217.0,-0.01106,19,1808.0,1727.0,95.16,90.91
7,9,23.1*x0*gauss(3.59*x0),a2*x0*gauss(a1*x0),"{'a1': 3.59, 'a2': 23.1}","{'a1': (3.59289, 0.267658, -0.255972), 'a2': (23.0591, 4.26989, -4.00478)}","{'a1, a2': 0.7573}",164.796*(a2*((x0 - 12.5) * 0.00210526)*gauss(a1*((x0 - 12.5) * 0.00210526))),101.1,0.7806,18,516.1,516.1,28.67,28.67
8,10,23.1*gauss(-3.55*x0)*tanh(x0),a2*gauss(a1*x0)*tanh(x0),"{'a1': -3.55, 'a2': 23.1}","{'a1': (-3.5474, 0.259084, -0.270417), 'a2': (23.0585, 4.26677, -4.00281)}","{'a1, a2': -0.7558}",164.796*(a2*gauss(a1*((x0 - 12.5) * 0.00210526))*tanh(((x0 - 12.5) * 0.00210526))),101.1,0.7805,18,515.6,515.6,28.64,28.64
9,11,23.3*x0*gauss(-3.74*x0) + 0.101,a2 + a3*x0*gauss(a1*x0),"{'a1': -3.74, 'a2': 0.101, 'a3': 23.3}","{'a1': (-3.74325, 0.231936, -0.244133), 'a2': (0.101237, 0.0407957, -0.0409539), 'a3': (23.314, 3.69254, -3.49022)}","{'a1, a2': -0.2148, 'a1, a3': -0.7211, 'a2, a3': -0.02889}",164.796*(a2 + a3*((x0 - 12.5) * 0.00210526)*gauss(a1*((x0 - 12.5) * 0.00210526))),98.01,0.7937,17,374.3,374.3,22.02,22.02
10,12,23.3*gauss(-3.71*x0)*tanh(x0) + 0.102,a2 + a3*gauss(a1*x0)*tanh(x0),"{'a1': -3.71, 'a2': 0.102, 'a3': 23.3}","{'a1': (-3.69991, 0.234545, -0.246532), 'a2': (0.101147, 0.040795, -0.0409568), 'a3': (23.3187, 3.69079, -3.4889)}","{'a1, a2': -0.2147, 'a1, a3': -0.7179, 'a2, a3': -0.02855}",164.796*(a2 + a3*gauss(a1*((x0 - 12.5) * 0.00210526))*tanh(((x0 - 12.5) * 0.00210526))),98.02,0.7937,17,374.2,374.1,22.01,22.01
11,13,(23.3*x0 - 0.0577)*gauss(3.75*x0) + 0.101,a2 + (a1 + a4*x0)*gauss(a3*x0),"{'a1': -0.0577, 'a2': 0.101, 'a3': 3.75, 'a4': 23.3}","{'a1': (-0.0577, 0, 0), 'a2': (0.112982, 0.0399786, -0.0401153), 'a3': (3.7814, 0.239524, -0.227173), 'a4': (23.964, 3.6478, -3.45524)}","{'a2, a3': 0.2098, 'a2, a4': -0.03225, 'a3, a4': 0.7171}",164.796*(a2 + (a1 + a4*((x0 - 12.5) * 0.00210526))*gauss(a3*((x0 - 12.5) * 0.00210526))),96.79,0.7989,17,364.5,361.3,21.44,21.25
