,"Parameterized equation, unscaled","Parameters: (best-fit, +1, -1)",Correlation,RMSE,R2,NDF,Chi2,Chi2/NDF
0,164.796*(a1),"{'a1': (0.206, 0, 0)}",{},252.4,-0.3676,20,2615.0,130.8
1,164.796*(a1),"{'a1': (0.207, 0, 0)}",{},252.3,-0.3667,20,2615.0,130.8
2,164.796*(a1*gauss(((x0 - 12.5) * 0.00210526))),"{'a1': (0.369516, 0.138, -0.138)}",{},240.1,-0.2373,19,2390.0,125.8
3,164.796*(gauss(a1)*gauss(((x0 - 12.5) * 0.00210526))),"{'a1': (-0.997778, 0.187, -0.187)}",{},240.1,-0.2373,19,2390.0,125.8
4,164.796*(a1*gauss(((x0 - 12.5) * 0.00210526))),"{'a1': (0.369516, 0.138, -0.138)}",{},240.1,-0.2373,19,2390.0,125.8
5,164.796*(gauss(a1)*gauss(((x0 - 12.5) * 0.00210526))),"{'a1': (0.997778, 0.187, -0.187)}",{},240.1,-0.2373,19,2390.0,125.8
6,164.796*(a1*((x0 - 12.5) * 0.00210526)*gauss(2*((x0 - 12.5) * 0.00210526))),"{'a1': (4.07546, 0.981, -0.981)}",{},217.0,-0.01106,19,1727.0,90.91
7,164.796*(a2*((x0 - 12.5) * 0.00210526)*gauss(a1*((x0 - 12.5) * 0.00210526))),"{'a1': (3.59289, 0.267658, -0.255972), 'a2': (23.0591, 4.26989, -4.00478)}","{'a1, a2': 0.7573}",101.1,0.7806,18,516.1,28.67
8,164.796*(a2*gauss(a1*((x0 - 12.5) * 0.00210526))*tanh(((x0 - 12.5) * 0.00210526))),"{'a1': (-3.5474, 0.259084, -0.270417), 'a2': (23.0585, 4.26677, -4.00281)}","{'a1, a2': -0.7558}",101.1,0.7805,18,515.6,28.64
9,164.796*(a2 + a3*((x0 - 12.5) * 0.00210526)*gauss(a1*((x0 - 12.5) * 0.00210526))),"{'a1': (-3.74325, 0.231936, -0.244133), 'a2': (0.101237, 0.0407957, -0.0409539), 'a3': (23.314, 3.69254, -3.49022)}","{'a1, a2': -0.2148, 'a1, a3': -0.7211, 'a2, a3': -0.02889}",98.01,0.7937,17,374.3,22.02
10,164.796*(a2 + a3*gauss(a1*((x0 - 12.5) * 0.00210526))*tanh(((x0 - 12.5) * 0.00210526))),"{'a1': (-3.69991, 0.234545, -0.246532), 'a2': (0.101147, 0.040795, -0.0409568), 'a3': (23.3187, 3.69079, -3.4889)}","{'a1, a2': -0.2147, 'a1, a3': -0.7179, 'a2, a3': -0.02855}",98.02,0.7937,17,374.1,22.01
11,164.796*(a2 + (a1 + a4*((x0 - 12.5) * 0.00210526))*gauss(a3*((x0 - 12.5) * 0.00210526))),"{'a1': (-0.0577, 0, 0), 'a2': (0.112982, 0.0399786, -0.0401153), 'a3': (3.7814, 0.239524, -0.227173), 'a4': (23.964, 3.6478, -3.45524)}","{'a2, a3': 0.2098, 'a2, a4': -0.03225, 'a3, a4': 0.7171}",96.79,0.7989,17,361.3,21.25
