,"Parameterized equation, unscaled","Parameters: (best-fit, +1, -1)",Correlation,RMSE,R2,NDF,Chi2,Chi2/NDF
0,a1,"{'a1': (2.03333, 0.283, -0.283)}",{},0.7074,-0.3108,8,770.7,96.33
1,exp(a1**x0),"{'a1': (0.864705, 0.0516, -0.0516)}",{},0.539,0.2391,8,400.9,50.11
2,a1*x0 + a2,"{'a1': (-0.520833, 0.0908566, -0.0908566), 'a2': (3.59583, 0.301337, -0.301337)}","{'a1, a2': -0.9039}",0.3343,0.7073,7,119.6,17.09
3,a1*exp(x0) + a2,"{'a1': (-0.0214288, 0.000912153, -0.000912153), 'a2': (2.91957, 0.0507364, -0.0507364)}","{'a1, a2': -0.7438}",0.0961,0.9758,7,8.337,1.191
4,a3*(a1*exp(x0) + 1)**a2,"{'a1': (-0.00686, 0, 0), 'a2': (1.12467, 0.0635373, -0.0611926), 'a3': (2.93122, 0.0532859, -0.0530987)}","{'a2, a3': 0.5317}",0.09511,0.9763,7,8.151,1.164
5,a1*exp(x0) + a2**x0 + a3,"{'a1': (-0.0211781, 0.000834892, -0.000834892), 'a2': (0.00905, 0, 0), 'a3': (2.90044, 0.0464389, -0.0464389)}","{'a1, a3': -0.7442}",0.08803,0.9797,7,6.985,0.9978
6,a1*exp(x0) + a2**x0 + a3,"{'a1': (-0.0211117, 0.00083061, -0.00083061), 'a2': (0.0138, 0, 0), 'a3': (2.89536, 0.0462007, -0.0462007)}","{'a1, a3': -0.7439}",0.0876,0.9799,7,6.913,0.9876
7,a4 + (a1 + exp(x0))*(a2 + tanh(a3*x0)),"{'a1': (-1.78716, 0.394084, -0.908248), 'a2': (-1.0221, 0.00144379, -0.00202316), 'a3': (1.25367, 1.37912, -0.327232), 'a4': (2.93768, 0.20437, -0.111085)}","{'a1, a2': -0.7732, 'a1, a3': -0.7118, 'a1, a4': 0.8352, 'a2, a3': 0.8351, 'a2, a4': -0.9383, 'a3, a4': -0.9069}",0.07669,0.9846,5,5.356,1.071
8,a2**exp(x0)*(a3 + tanh(x0**(a1 + x0))),"{'a1': (-1.70235, 0.41899, -0.333893), 'a2': (0.98773, 0.000542699, -0.000557922), 'a3': (2.16404, 0.0600483, -0.0575285)}","{'a1, a2': 0.2288, 'a1, a3': -0.5451, 'a2, a3': -0.5945}",0.07306,0.986,6,5.317,0.8862
9,a3**exp(x0)*(a4 + tanh(a2*x0**(a1 + x0))),"{'a1': (-1.34364, 0.136333, -0.135376), 'a2': (0.459085, 0.137893, -0.113663), 'a3': (0.986498, 0.000591126, -0.000599348), 'a4': (2.41424, 0.113459, -0.10616)}","{'a1, a2': -0.034, 'a1, a3': -0.01867, 'a1, a4': -0.04361, 'a2, a3': 0.7899, 'a2, a4': -0.9447, 'a3, a4': -0.858}",0.0445,0.9948,5,1.788,0.3576
10,a4**(a2 + exp(x0))*(a5 + tanh(a3*x0**(a1 + x0))),"{'a1': (-1.34403, 0.136579, -0.135791), 'a2': (-0.797, 0, 0), 'a3': (0.464204, 0.140229, -0.115545), 'a4': (0.986498, 0.000599721, -0.00061005), 'a5': (2.3774, 0.113056, -0.105233)}","{'a1, a3': -0.03375, 'a1, a4': -0.01806, 'a1, a5': -0.04481, 'a3, a4': 0.7915, 'a3, a5': -0.9474, 'a4, a5': -0.8535}",0.04488,0.9947,5,1.819,0.3637
11,a4**(a2 + exp(x0))*(a5 + tanh(a3*x0**(a1 + x0))),"{'a1': (-1.34397, 0.136528, -0.13571), 'a2': (-0.662, 0, 0), 'a3': (0.463319, 0.139824, -0.115217), 'a4': (0.986498, 0.000598248, -0.000608201), 'a5': (2.38363, 0.113122, -0.105391)}","{'a1, a3': -0.03377, 'a1, a4': -0.01815, 'a1, a5': -0.04461, 'a3, a4': 0.7917, 'a3, a5': -0.9467, 'a4, a5': -0.8547}",0.04482,0.9947,5,1.813,0.3626
12,a4**(a1 + exp(x0))*(a5 + tanh(a3**x0*x0**(a2 + x0))),"{'a1': (-1.14, 0, 0), 'a2': (-0.69035, 0.273, -0.273), 'a3': (0.566188, 0.119, -0.119), 'a4': (0.986698, 0.00056, -0.00056), 'a5': (2.32613, 0.106, -0.106)}","{'a2, a3': -0.8957, 'a2, a4': -0.7221, 'a2, a5': 0.8175, 'a3, a4': 0.8107, 'a3, a5': -0.9521, 'a4, a5': -0.8608}",0.04533,0.9946,5,1.89,0.378
