,Complexity,PySR equation,Parameterized equation,Parameterization,"Parameters: (best-fit, +1, -1)",Correlation,"Parameterized equation, unscaled",RMSE,R2,NDF,Chi2 (before refit),Chi2,Chi2/NDF (before refit),Chi2/NDF
0,1,6.23,a1,{'a1': 6.23},"{'a1': (6.23143, 0.147, -0.147)}",{},a1,2.116,-0.3235,151,1183.0,1183.0,7.836,7.836
1,3,x1 + 5.75,a1 + x1,{'a1': 5.75},"{'a1': (5.75237, 0.141, -0.141)}",{},a1 + x1,2.044,-0.2342,151,1081.0,1081.0,7.157,7.157
2,5,8.02 - 2.27*x0,a1*x0 + a2,"{'a1': -2.27, 'a2': 8.02}","{'a1': (-2.27041, 0.379864, -0.379864), 'a2': (8.02121, 0.327747, -0.327747)}","{'a1, a2': -0.9117}",a1*x0 + a2,1.929,-0.09951,150,954.4,954.4,6.363,6.363
3,6,x1 + gauss(x0) + 5.22,a1 + x1 + gauss(x0),{'a1': 5.22},"{'a1': (5.2179, 0.132, -0.132)}",{},a1 + x1 + gauss(x0),1.925,-0.09495,151,951.8,951.8,6.303,6.303
4,7,7.17*gauss(x0) + exp(x0),a1*gauss(x0) + exp(x0),{'a1': 7.17},"{'a1': (7.11956, 0.209, -0.209)}",{},a1*gauss(x0) + exp(x0),1.832,0.008511,151,827.7,827.4,5.482,5.48
5,9,7.17*gauss(x0) + exp(x0**2),a1*gauss(x0) + exp(x0**2),{'a1': 7.17},"{'a1': (7.2957, 0.172, -0.172)}",{},a1*gauss(x0) + exp(x0**2),1.458,0.3718,151,563.3,561.3,3.73,3.717
6,11,x1 + 6.55*gauss(x0) + exp(x0**2),a1*gauss(x0) + x1 + exp(x0**2),{'a1': 6.55},"{'a1': (6.54693, 0.164, -0.164)}",{},a1*gauss(x0) + x1 + exp(x0**2),1.381,0.4368,151,508.8,508.8,3.369,3.369
7,13,x1 + 7.71*gauss(x0) + exp(x0**2) - 0.757,a1 + a2*gauss(x0) + x1 + exp(x0**2),"{'a1': -0.757, 'a2': 7.71}","{'a1': (-0.75722, 0.219736, -0.219736), 'a2': (7.70663, 0.371975, -0.371975)}","{'a1, a2': -0.9041}",a1 + a2*gauss(x0) + x1 + exp(x0**2),1.384,0.4337,150,471.2,471.2,3.142,3.142
8,15,(x0 + x1 + 6.33*gauss(x0*(x0 + 0.852)))*exp(x0),(a2*gauss(x0*(a1 + x0)) + x0 + x1)*exp(x0),"{'a1': 0.852, 'a2': 6.33}","{'a1': (0.85154, 0.0311442, -0.0306118), 'a2': (6.32641, 0.162554, -0.16125)}","{'a1, a2': 0.6384}",(a2*gauss(x0*(a1 + x0)) + x0 + x1)*exp(x0),1.104,0.64,150,328.1,328.1,2.187,2.187
9,17,(x0**2 + x1 + 6.49*gauss(x0*(x0 + 0.81)))*exp(x0),(a2*gauss(x0*(a1 + x0)) + x0**2 + x1)*exp(x0),"{'a1': 0.81, 'a2': 6.49}","{'a1': (0.809133, 0.0241789, -0.0238561), 'a2': (6.49164, 0.135257, -0.134376)}","{'a1, a2': 0.6428}",(a2*gauss(x0*(a1 + x0)) + x0**2 + x1)*exp(x0),0.9207,0.7495,150,240.1,240.1,1.601,1.601
10,18,(x0**2 + 6.49*gauss(x0*(x0 + 0.788)) + tanh(x1))*exp(x0),(a2*gauss(x0*(a1 + x0)) + x0**2 + tanh(x1))*exp(x0),"{'a1': 0.788, 'a2': 6.49}","{'a1': (0.78469, 0.0231837, -0.0228977), 'a2': (6.52652, 0.131493, -0.13066)}","{'a1, a2': 0.6477}",(a2*gauss(x0*(a1 + x0)) + x0**2 + tanh(x1))*exp(x0),0.905,0.758,150,229.3,228.9,1.529,1.526
