,Complexity,PySR equation,Parameterized equation,Parameterization,"Parameters: (best-fit, +1, -1)",Correlation,"Parameterized equation, unscaled",RMSE,R2,NDF,Chi2 (before refit),Chi2,Chi2/NDF (before refit),Chi2/NDF
0,1,8.11,a1,{'a1': 8.11},"{'a1': (8.10694, 0.148, -0.148)}",{},a1,2.487,-0.3035,227,1601.0,1601.0,7.055,7.055
1,4,tanh(x0) + 7.85,a1 + tanh(x0),{'a1': 7.85},"{'a1': (7.85372, 0.127, -0.127)}",{},a1 + tanh(x0),2.073,0.09407,227,1175.0,1175.0,5.178,5.178
2,9,4.32*x0*gauss(x0) + 8.36,a1*x0*gauss(x0) + a2,"{'a1': 4.32, 'a2': 8.36}","{'a1': (5.93048, 0.377529, -0.377529), 'a2': (8.45678, 0.104979, -0.104979)}","{'a1, a2': 0.2115}",a1*x0*gauss(x0) + a2,1.644,0.4306,226,825.5,763.8,3.653,3.38
3,10,4.09*gauss(x1)*tanh(x0) + 7.7,a1*gauss(x1)*tanh(x0) + a2,"{'a1': 4.09, 'a2': 7.7}","{'a1': (4.0894, 0.220221, -0.220221), 'a2': (7.69587, 0.0959342, -0.0959342)}","{'a1, a2': -0.2305}",a1*gauss(x1)*tanh(x0) + a2,1.471,0.5439,226,632.3,632.3,2.798,2.798
4,12,3.88*gauss(x1**2)*tanh(x0) + 7.83,a1*gauss(x1**2)*tanh(x0) + a2,"{'a1': 3.88, 'a2': 7.83}","{'a1': (3.82556, 0.180756, -0.180756), 'a2': (7.74199, 0.0876112, -0.0876112)}","{'a1, a2': -0.1972}",a1*gauss(x1**2)*tanh(x0) + a2,1.385,0.5958,226,538.5,535.5,2.383,2.369
5,13,(-0.6*x0*x1 + 4.25)*(tanh(x0) + 1.96),(a2 + tanh(x0))*(a1*x0*x1 + a3),"{'a1': -0.6, 'a2': 1.96, 'a3': 4.25}","{'a1': (-0.610689, 0.0395637, -0.0402705), 'a2': (1.88603, 0.0675346, -0.0630489), 'a3': (4.39189, 0.151544, -0.151888)}","{'a1, a2': 0.8066, 'a1, a3': -0.8873, 'a2, a3': -0.9595}",(a2 + tanh(x0))*(a1*x0*x1 + a3),1.216,0.6882,225,368.4,364.3,1.637,1.619
6,15,(-0.6*x0*x1 + 4.23)*(tanh(1.14*x0) + 1.96),(a3 + tanh(a2*x0))*(a1*x0*x1 + a4),"{'a1': -0.6, 'a2': 1.14, 'a3': 1.96, 'a4': 4.23}","{'a1': (-0.486361, 0.0452249, -0.0488228), 'a2': (1.49499, 0.231994, -0.186511), 'a3': (2.28721, 0.158084, -0.149574), 'a4': (3.68882, 0.239567, -0.223764)}","{'a1, a2': 0.7156, 'a1, a3': 0.8943, 'a1, a4': -0.9344, 'a2, a3': 0.8611, 'a2, a4': -0.8353, 'a3, a4': -0.9854}",(a3 + tanh(a2*x0))*(a1*x0*x1 + a4),1.192,0.7005,224,358.1,348.0,1.599,1.554
7,16,4.06*(tanh(x0) + 0.43)*gauss(x0*(x1 - 0.579)) + 6.53,a4 + (a2 + a3*tanh(x0))*gauss(x0*(a1 + x1)),"{'a1': -0.579, 'a2': 1.7457999999999998, 'a3': 4.06, 'a4': 6.53}","{'a1': (-0.579352, 0.0168541, -0.0164235), 'a2': (1.74659, 0.198565, -0.198377), 'a3': (4.06129, 0.130781, -0.130781), 'a4': (6.52794, 0.167069, -0.167284)}","{'a1, a2': -0.1603, 'a1, a3': 0.007059, 'a1, a4': 0.186, 'a2, a3': 0.1356, 'a2, a4': -0.9206, 'a3, a4': -0.1707}",a4 + (a2 + a3*tanh(x0))*gauss(x0*(a1 + x1)),1.05,0.7678,224,295.1,295.1,1.317,1.317
8,17,5.2*gauss(x1 - 0.343)*tanh(x0) - 0.284*exp(x0) + 8.58,a2*exp(x0) + a3*gauss(a1 + x1)*tanh(x0) + a4,"{'a1': -0.343, 'a2': -0.284, 'a3': 5.2, 'a4': 8.58}","{'a1': (-0.342461, 0.0323493, -0.0315859), 'a2': (-0.276546, 0.0155501, -0.0155742), 'a3': (5.20534, 0.155777, -0.155417), 'a4': (8.57365, 0.080065, -0.0800639)}","{'a1, a2': 0.3668, 'a1, a3': 0.1872, 'a1, a4': -0.06288, 'a2, a3': -0.5379, 'a2, a4': -0.612, 'a3, a4': 0.2415}",a2*exp(x0) + a3*gauss(a1 + x1)*tanh(x0) + a4,0.9806,0.7973,224,255.5,254.7,1.141,1.137
9,18,5.2*gauss(x1 - 0.343)*tanh(x0) - 0.276*exp(x0) + 8.57,a2*exp(x0) + a3*gauss(a1 + x1)*tanh(x0) + a4,"{'a1': -0.343, 'a2': -0.276, 'a3': 5.2, 'a4': 8.57}","{'a1': (-0.342461, 0.0323493, -0.0315859), 'a2': (-0.276546, 0.0155501, -0.0155742), 'a3': (5.20534, 0.155777, -0.155417), 'a4': (8.57365, 0.080065, -0.0800639)}","{'a1, a2': 0.3668, 'a1, a3': 0.1872, 'a1, a4': -0.06288, 'a2, a3': -0.5379, 'a2, a4': -0.612, 'a3, a4': 0.2415}",a2*exp(x0) + a3*gauss(a1 + x1)*tanh(x0) + a4,0.9806,0.7973,224,254.7,254.7,1.137,1.137
