,"Parameterized equation, unscaled","Parameters: (best-fit, +1, -1)",Correlation,RMSE,R2,NDF,Chi2,Chi2/NDF
0,a1,"{'a1': (8.10694, 0.148, -0.148)}",{},2.487,-0.3035,227,1601.0,7.055
1,a1 + tanh(x0),"{'a1': (7.85372, 0.127, -0.127)}",{},2.073,0.09407,227,1175.0,5.178
2,a1*x0*gauss(x0) + a2,"{'a1': (5.93048, 0.377529, -0.377529), 'a2': (8.45678, 0.104979, -0.104979)}","{'a1, a2': 0.2115}",1.644,0.4306,226,763.8,3.38
3,a1*gauss(x1)*tanh(x0) + a2,"{'a1': (4.0894, 0.220221, -0.220221), 'a2': (7.69587, 0.0959342, -0.0959342)}","{'a1, a2': -0.2305}",1.471,0.5439,226,632.3,2.798
4,a1*gauss(x1**2)*tanh(x0) + a2,"{'a1': (3.82556, 0.180756, -0.180756), 'a2': (7.74199, 0.0876112, -0.0876112)}","{'a1, a2': -0.1972}",1.385,0.5958,226,535.5,2.369
5,(a2 + tanh(x0))*(a1*x0*x1 + a3),"{'a1': (-0.610689, 0.0395637, -0.0402705), 'a2': (1.88603, 0.0675346, -0.0630489), 'a3': (4.39189, 0.151544, -0.151888)}","{'a1, a2': 0.8066, 'a1, a3': -0.8873, 'a2, a3': -0.9595}",1.216,0.6882,225,364.3,1.619
6,(a3 + tanh(a2*x0))*(a1*x0*x1 + a4),"{'a1': (-0.486361, 0.0452249, -0.0488228), 'a2': (1.49499, 0.231994, -0.186511), 'a3': (2.28721, 0.158084, -0.149574), 'a4': (3.68882, 0.239567, -0.223764)}","{'a1, a2': 0.7156, 'a1, a3': 0.8943, 'a1, a4': -0.9344, 'a2, a3': 0.8611, 'a2, a4': -0.8353, 'a3, a4': -0.9854}",1.192,0.7005,224,348.0,1.554
7,a4 + (a2 + a3*tanh(x0))*gauss(x0*(a1 + x1)),"{'a1': (-0.579352, 0.0168541, -0.0164235), 'a2': (1.74659, 0.198565, -0.198377), 'a3': (4.06129, 0.130781, -0.130781), 'a4': (6.52794, 0.167069, -0.167284)}","{'a1, a2': -0.1603, 'a1, a3': 0.007059, 'a1, a4': 0.186, 'a2, a3': 0.1356, 'a2, a4': -0.9206, 'a3, a4': -0.1707}",1.05,0.7678,224,295.1,1.317
8,a2*exp(x0) + a3*gauss(a1 + x1)*tanh(x0) + a4,"{'a1': (-0.342461, 0.0323493, -0.0315859), 'a2': (-0.276546, 0.0155501, -0.0155742), 'a3': (5.20534, 0.155777, -0.155417), 'a4': (8.57365, 0.080065, -0.0800639)}","{'a1, a2': 0.3668, 'a1, a3': 0.1872, 'a1, a4': -0.06288, 'a2, a3': -0.5379, 'a2, a4': -0.612, 'a3, a4': 0.2415}",0.9806,0.7973,224,254.7,1.137
9,a2*exp(x0) + a3*gauss(a1 + x1)*tanh(x0) + a4,"{'a1': (-0.342461, 0.0323493, -0.0315859), 'a2': (-0.276546, 0.0155501, -0.0155742), 'a3': (5.20534, 0.155777, -0.155417), 'a4': (8.57365, 0.080065, -0.0800639)}","{'a1, a2': 0.3668, 'a1, a3': 0.1872, 'a1, a4': -0.06288, 'a2, a3': -0.5379, 'a2, a4': -0.612, 'a3, a4': 0.2415}",0.9806,0.7973,224,254.7,1.137
10,a2*exp(x0) + a3*gauss(a1 + x1**2)*tanh(x0) + a4,"{'a1': (-0.34555, 0.0339111, -0.0329225), 'a2': (-0.225085, 0.0132679, -0.0132814), 'a3': (4.90608, 0.135503, -0.135351), 'a4': (8.51867, 0.0748653, -0.074865)}","{'a1, a2': 0.2707, 'a1, a3': -0.1234, 'a1, a4': -0.03657, 'a2, a3': -0.6048, 'a2, a4': -0.6267, 'a3, a4': 0.2405}",0.9505,0.8096,224,225.8,1.008
11,a1*x0*x1 + a3*gauss(x0*(a2 + x1))*tanh(x0) + a4,"{'a1': (-0.782012, 0.0503366, -0.0505638), 'a2': (-0.655104, 0.0159933, -0.0158167), 'a3': (4.81527, 0.120368, -0.120135), 'a4': (8.31471, 0.0582502, -0.058242)}","{'a1, a2': 0.4547, 'a1, a3': -0.5222, 'a1, a4': -0.4688, 'a2, a3': -0.2274, 'a2, a4': -0.1463, 'a3, a4': 0.1476}",0.8557,0.8457,224,185.7,0.8292
12,a1*x0*x1 + a3*gauss(x0*(a2 + x1))*tanh(x0) + a4,"{'a1': (-0.782012, 0.0503365, -0.0505639), 'a2': (-0.655104, 0.0159932, -0.0158167), 'a3': (4.81527, 0.120368, -0.120135), 'a4': (8.31471, 0.0582502, -0.058242)}","{'a1, a2': 0.4547, 'a1, a3': -0.5222, 'a1, a4': -0.4688, 'a2, a3': -0.2274, 'a2, a4': -0.1463, 'a3, a4': 0.1476}",0.8557,0.8457,224,185.7,0.8292
13,a1*x0*x1 + a5 + (a3 + a4*gauss(x0*(a2 + x1)))*tanh(x0),"{'a1': (-1.1268, 0.0980882, -0.0966644), 'a2': (-0.691292, 0.0197529, -0.020234), 'a3': (1.23097, 0.303333, -0.307931), 'a4': (3.82123, 0.275052, -0.272406), 'a5': (8.28934, 0.0569081, -0.0569021)}","{'a1, a2': 0.6483, 'a1, a3': -0.8702, 'a1, a4': 0.6712, 'a1, a5': -0.1345, 'a2, a3': -0.5179, 'a2, a4': 0.3752, 'a2, a5': -0.07507, 'a3, a4': -0.9048, 'a3, a5': -0.1095, 'a4, a5': 0.1676}",0.8126,0.8608,223,173.8,0.7792
14,a1*x0*x1 + a5 + (a3 + a4*gauss(x0*(a2 + x1)))*tanh(x0),"{'a1': (-1.1268, 0.0980882, -0.0966644), 'a2': (-0.691292, 0.0197529, -0.020234), 'a3': (1.23097, 0.303333, -0.307931), 'a4': (3.82123, 0.275052, -0.272406), 'a5': (8.28934, 0.0569081, -0.0569021)}","{'a1, a2': 0.6483, 'a1, a3': -0.8702, 'a1, a4': 0.6712, 'a1, a5': -0.1345, 'a2, a3': -0.5179, 'a2, a4': 0.3752, 'a2, a5': -0.07507, 'a3, a4': -0.9048, 'a3, a5': -0.1095, 'a4, a5': 0.1676}",0.8126,0.8608,223,173.8,0.7792
15,a2*x0*x1 + a5*gauss((a1 + x0)*(a3 + x1))*tanh(a4*x0) + a6,"{'a1': (-0.586908, 0.0849855, -0.0855985), 'a2': (-0.819817, 0.0505566, -0.0511513), 'a3': (-0.622891, 0.0204949, -0.0194442), 'a4': (1.11261, 0.0938428, -0.0838878), 'a5': (4.56644, 0.199352, -0.190681), 'a6': (8.04347, 0.0696282, -0.0687283)}","{'a1, a2': 0.3067, 'a1, a3': 0.02169, 'a1, a4': -0.2119, 'a1, a5': 0.1238, 'a1, a6': 0.4397, 'a2, a3': 0.5606, 'a2, a4': 0.04479, 'a2, a5': -0.3529, 'a2, a6': -0.1177, 'a3, a4': 0.05652, 'a3, a5': -0.2236, 'a3, a6': -0.06843, 'a4, a5': -0.8278, 'a4, a6': 0.32, 'a5, a6': -0.2723}",0.7603,0.8782,222,153.1,0.6897
