,Complexity,PySR equation,Parameterized equation,Parameterization,"Parameters: (best-fit, +1, -1)",Correlation,"Parameterized equation, unscaled",RMSE,R2,NDF,Chi2 (before refit),Chi2,Chi2/NDF (before refit),Chi2/NDF
0,1,0.000619,a1,{'a1': 0.000619},"{'a1': (0.000619, 0, 0)}",{},38458.1*(a1),72030.0,-0.398,29,1115000.0,1115000.0,38440.0,38440.0
1,3,0.000894**x0,a1**x0,{'a1': 0.000894},"{'a1': (0.000894, 0, 0)}",{},38458.1*(a1**((x0 - 1794.0) * 0.000184332)),56810.0,0.1305,29,613800.0,613800.0,21160.0,21160.0
2,5,3.66*9.58e-5**x0,a1**x0*a2,"{'a1': 9.58e-05, 'a2': 3.66}","{'a1': (9.58e-05, 0, 0), 'a2': (3.63032, 0.257, -0.257)}",{},38458.1*(a1**((x0 - 1794.0) * 0.000184332)*a2),23480.0,0.8515,28,137400.0,137300.0,4907.0,4905.0
3,7,5.95*1.52e-7**x0,a1**x0*a2,"{'a1': 1.52e-07, 'a2': 5.95}","{'a1': (1.66766e-07, 2.45292e-08, -2.15495e-08), 'a2': (5.88847, 0.0537058, -0.0535516)}","{'a1, a2': -0.7044}",38458.1*(a1**((x0 - 1794.0) * 0.000184332)*a2),1560.0,0.9993,27,1240.0,1178.0,45.91,43.64
4,8,5.95*1.52e-7**tanh(x0),a1**tanh(x0)*a2,"{'a1': 1.52e-07, 'a2': 5.95}","{'a1': (1.48225e-07, 1.72793e-08, -1.55782e-08), 'a2': (5.90496, 0.043277, -0.0431723)}","{'a1, a2': -0.7028}",38458.1*(a1**tanh(((x0 - 1794.0) * 0.000184332))*a2),1391.0,0.9995,27,854.0,766.1,31.63,28.37
5,9,1.18e-5**x0/(x0 + 0.165),a1**x0/(a2 + x0),"{'a1': 1.18e-05, 'a2': 0.165}","{'a1': (1.21048e-05, 5.28026e-07, -5.07999e-07), 'a2': (0.165306, 0.000581768, -0.000578467)}","{'a1, a2': 0.5487}",38458.1*(a1**((x0 - 1794.0) * 0.000184332)/(a2 + ((x0 - 1794.0) * 0.000184332))),475.9,0.9999,27,171.8,169.1,6.362,6.263
6,10,1.08e-5**tanh(x0)/(x0 + 0.165),a1**tanh(x0)/(a2 + x0),"{'a1': 1.08e-05, 'a2': 0.165}","{'a1': (1.06853e-05, 3.33998e-07, -3.24611e-07), 'a2': (0.164674, 0.00042196, -0.000420171)}","{'a1, a2': 0.5422}",38458.1*(a1**tanh(((x0 - 1794.0) * 0.000184332))/(a2 + ((x0 - 1794.0) * 0.000184332))),476.2,0.9999,27,93.76,91.63,3.473,3.394
7,11,1.08e-5**tanh(x0)/(x0 + 0.165),a1**tanh(x0)/(a2 + x0),"{'a1': 1.08e-05, 'a2': 0.165}","{'a1': (1.06853e-05, 3.33998e-07, -3.24611e-07), 'a2': (0.164674, 0.00042196, -0.000420171)}","{'a1, a2': 0.5422}",38458.1*(a1**tanh(((x0 - 1794.0) * 0.000184332))/(a2 + ((x0 - 1794.0) * 0.000184332))),476.2,0.9999,27,93.76,91.63,3.473,3.394
8,12,0.000245**(0.372*x0 + tanh(x0))/(x0 + 0.165),a1**(a3*x0 + tanh(x0))/(a2 + x0),"{'a1': 0.000245, 'a2': 0.165, 'a3': 0.372}","{'a1': (0.000245, 0, 0), 'a2': (0.164924, 0.000339295, -0.000338127), 'a3': (0.371339, 0.00297567, -0.00296982)}","{'a2, a3': -0.5442}",38458.1*(a1**(a3*((x0 - 1794.0) * 0.000184332) + tanh(((x0 - 1794.0) * 0.000184332)))/(a2 + ((x0 - 1794.0) * 0.000184332))),463.3,0.9999,27,59.3,58.81,2.196,2.178
9,14,0.000245**(0.372*x0 + tanh(x0))/(x0 + 0.165),a1**(a3*x0 + tanh(x0))/(a2 + x0),"{'a1': 0.000245, 'a2': 0.165, 'a3': 0.372}","{'a1': (0.000245, 0, 0), 'a2': (0.164924, 0.000339295, -0.000338127), 'a3': (0.371339, 0.00297567, -0.00296982)}","{'a2, a3': -0.5442}",38458.1*(a1**(a3*((x0 - 1794.0) * 0.000184332) + tanh(((x0 - 1794.0) * 0.000184332)))/(a2 + ((x0 - 1794.0) * 0.000184332))),463.3,0.9999,27,59.3,58.81,2.196,2.178
