,"Parameterized equation, unscaled","Parameters: (best-fit, +1, -1)",Correlation,RMSE,R2,NDF,Chi2,Chi2/NDF
0,38458.1*(a1),"{'a1': (0.000619, 0, 0)}",{},72030.0,-0.398,29,1115000.0,38440.0
1,38458.1*(a1**((x0 - 1794.0) * 0.000184332)),"{'a1': (0.000894, 0, 0)}",{},56810.0,0.1305,29,613800.0,21160.0
2,38458.1*(a1**((x0 - 1794.0) * 0.000184332)*a2),"{'a1': (9.58e-05, 0, 0), 'a2': (3.63032, 0.257, -0.257)}",{},23480.0,0.8515,28,137300.0,4905.0
3,38458.1*(a1**((x0 - 1794.0) * 0.000184332)*a2),"{'a1': (1.66766e-07, 2.45292e-08, -2.15495e-08), 'a2': (5.88847, 0.0537058, -0.0535516)}","{'a1, a2': -0.7044}",1560.0,0.9993,27,1178.0,43.64
4,38458.1*(a1**tanh(((x0 - 1794.0) * 0.000184332))*a2),"{'a1': (1.48225e-07, 1.72793e-08, -1.55782e-08), 'a2': (5.90496, 0.043277, -0.0431723)}","{'a1, a2': -0.7028}",1391.0,0.9995,27,766.1,28.37
5,38458.1*(a1**((x0 - 1794.0) * 0.000184332)/(a2 + ((x0 - 1794.0) * 0.000184332))),"{'a1': (1.21048e-05, 5.28026e-07, -5.07999e-07), 'a2': (0.165306, 0.000581768, -0.000578467)}","{'a1, a2': 0.5487}",475.9,0.9999,27,169.1,6.263
6,38458.1*(a1**tanh(((x0 - 1794.0) * 0.000184332))/(a2 + ((x0 - 1794.0) * 0.000184332))),"{'a1': (1.06853e-05, 3.33998e-07, -3.24611e-07), 'a2': (0.164674, 0.00042196, -0.000420171)}","{'a1, a2': 0.5422}",476.2,0.9999,27,91.63,3.394
7,38458.1*(a1**tanh(((x0 - 1794.0) * 0.000184332))/(a2 + ((x0 - 1794.0) * 0.000184332))),"{'a1': (1.06853e-05, 3.33998e-07, -3.24611e-07), 'a2': (0.164674, 0.00042196, -0.000420171)}","{'a1, a2': 0.5422}",476.2,0.9999,27,91.63,3.394
8,38458.1*(a1**(a3*((x0 - 1794.0) * 0.000184332) + tanh(((x0 - 1794.0) * 0.000184332)))/(a2 + ((x0 - 1794.0) * 0.000184332))),"{'a1': (0.000245, 0, 0), 'a2': (0.164924, 0.000339295, -0.000338127), 'a3': (0.371339, 0.00297567, -0.00296982)}","{'a2, a3': -0.5442}",463.3,0.9999,27,58.81,2.178
9,38458.1*(a1**(a3*((x0 - 1794.0) * 0.000184332) + tanh(((x0 - 1794.0) * 0.000184332)))/(a2 + ((x0 - 1794.0) * 0.000184332))),"{'a1': (0.000245, 0, 0), 'a2': (0.164924, 0.000339295, -0.000338127), 'a3': (0.371339, 0.00297567, -0.00296982)}","{'a2, a3': -0.5442}",463.3,0.9999,27,58.81,2.178
10,38458.1*(a1**((x0 - 1794.0) * 0.000184332)/(a2 + a4*((x0 - 1794.0) * 0.000184332)**a3)),"{'a1': (7.78338e-05, 1.19474e-05, -1.07377e-05), 'a2': (0.165961, 0.00036573, -0.000365315), 'a3': (1.1504, 0.0141454, -0.0145451), 'a4': (2.22886, 0.138434, -0.135809)}","{'a1, a2': 0.3143, 'a1, a3': 0.847, 'a1, a4': 0.9595, 'a2, a3': 0.572, 'a2, a4': 0.4241, 'a3, a4': 0.9549}",203.9,1.0,25,30.12,1.205
11,38458.1*(a1**((x0 - 1794.0) * 0.000184332)/(a2 + (((x0 - 1794.0) * 0.000184332) + tanh(((x0 - 1794.0) * 0.000184332)))**a3)),"{'a1': (7.42627e-05, 2.27577e-06, -2.22361e-06), 'a2': (0.166006, 0.000321257, -0.000320823), 'a3': (1.15248, 0.00478025, -0.00472227)}","{'a1, a2': -0.3241, 'a1, a3': -0.8269, 'a2, a3': 0.6454}",210.9,1.0,26,28.66,1.102
