,Complexity,PySR equation,Parameterized equation,Parameterization,"Parameters: (best-fit, +1, -1)",Correlation,"Parameterized equation, unscaled",RMSE,R2,NDF,Chi2 (before refit),Chi2,Chi2/NDF (before refit),Chi2/NDF
0,1,0.00151,a1,{'a1': 0.00151},"{'a1': (0.00151, 0, 0)}",{},25510.7*(a1),57850.0,-0.2405,45,1146000.0,1146000.0,25470.0,25470.0
1,3,0.00117**x0,a1**x0,{'a1': 0.00117},"{'a1': (0.00117, 0, 0)}",{},25510.7*(a1**((x0 - 1794.0) * 0.000184332)),49600.0,0.08784,45,759400.0,759400.0,16880.0,16880.0
2,5,5.9*2.5e-5**x0,a1**x0*a2,"{'a1': 2.5e-05, 'a2': 5.9}","{'a1': (2.5e-05, 0, 0), 'a2': (5.92027, 0.296, -0.296)}",{},25510.7*(a1**((x0 - 1794.0) * 0.000184332)*a2),16400.0,0.9003,44,113300.0,113200.0,2574.0,2574.0
3,6,5.91*2.5e-5**x0,a1**x0*a2,"{'a1': 2.5e-05, 'a2': 5.91}","{'a1': (2.5e-05, 0, 0), 'a2': (5.92027, 0.296, -0.296)}",{},25510.7*(a1**((x0 - 1794.0) * 0.000184332)*a2),16400.0,0.9003,44,113200.0,113200.0,2574.0,2574.0
4,7,6.69e-5**x0/(x0 + 0.11),a1**x0/(a2 + x0),"{'a1': 6.69e-05, 'a2': 0.11}","{'a1': (5.1138e-05, 2.01694e-06, -1.95246e-06), 'a2': (0.107127, 0.000464363, -0.000461057)}","{'a1, a2': 0.4229}",25510.7*(a1**((x0 - 1794.0) * 0.000184332)/(a2 + ((x0 - 1794.0) * 0.000184332))),1145.0,0.9995,43,1088.0,439.8,25.31,10.23
5,8,tanh(2.99e-5**x0)/(x0 + 0.0849),tanh(a1**x0)/(a2 + x0),"{'a1': 2.99e-05, 'a2': 0.0849}","{'a1': (3.17511e-05, 1.30905e-06, -1.2667e-06), 'a2': (0.0838267, 0.000364359, -0.000362132)}","{'a1, a2': 0.3703}",25510.7*(tanh(a1**((x0 - 1794.0) * 0.000184332))/(a2 + ((x0 - 1794.0) * 0.000184332))),582.5,0.9999,43,578.3,416.7,13.45,9.692
6,9,2.5e-5**x0/(0.813*x0 + 0.108),a1**x0/(a2 + a3*x0),"{'a1': 2.5e-05, 'a2': 0.108, 'a3': 0.813}","{'a1': (3.2353e-05, 3.16299e-06, -2.94291e-06), 'a2': (0.108472, 0.00043986, -0.000437373), 'a3': (0.866655, 0.0246602, -0.0248069)}","{'a1, a2': -0.4316, 'a1, a3': 0.9446, 'a2, a3': -0.5837}",25510.7*(a1**((x0 - 1794.0) * 0.000184332)/(a2 + a3*((x0 - 1794.0) * 0.000184332))),674.1,0.9998,42,336.2,254.5,8.004,6.059
7,10,1.23*2.5e-5**x0/(tanh(x0) + 0.133),a1**x0*a3/(a2 + tanh(x0)),"{'a1': 2.5e-05, 'a2': 0.133, 'a3': 1.23}","{'a1': (2.83882e-05, 2.57216e-06, -2.40423e-06), 'a2': (0.12864, 0.00389318, -0.00366962), 'a3': (1.18513, 0.0330389, -0.0311346)}","{'a1, a2': -0.9235, 'a1, a3': -0.9432, 'a2, a3': 0.9935}",25510.7*(a1**((x0 - 1794.0) * 0.000184332)*a3/(a2 + tanh(((x0 - 1794.0) * 0.000184332)))),642.2,0.9998,42,259.1,221.5,6.168,5.274
8,13,7.5e-5**x0/(1.46*x0**1.15 + 0.109),a1**x0/(a2 + a4*x0**a3),"{'a1': 7.5e-05, 'a2': 0.109, 'a3': 1.15, 'a4': 1.46}","{'a1': (9.2403e-05, 8.18686e-06, -7.5935e-06), 'a2': (0.110143, 0.000240389, -0.00023994), 'a3': (1.16247, 0.0118506, -0.0119566), 'a4': (1.57684, 0.0699861, -0.0679065)}","{'a1, a2': 0.376, 'a1, a3': 0.8767, 'a1, a4': 0.9636, 'a2, a3': 0.5986, 'a2, a4': 0.4687, 'a3, a4': 0.9681}",25510.7*(a1**((x0 - 1794.0) * 0.000184332)/(a2 + a4*((x0 - 1794.0) * 0.000184332)**a3)),178.8,1.0,41,145.6,50.24,3.552,1.225
9,14,7.5e-5**x0/(1.46*tanh(x0**1.15) + 0.109),a1**x0/(a2 + a4*tanh(x0**a3)),"{'a1': 7.5e-05, 'a2': 0.109, 'a3': 1.15, 'a4': 1.46}","{'a1': (7.633e-05, 6.64755e-06, -6.18555e-06), 'a2': (0.110088, 0.000231547, -0.000231278), 'a3': (1.1516, 0.0115844, -0.0116971), 'a4': (1.48011, 0.0647165, -0.062908)}","{'a1, a2': 0.3807, 'a1, a3': 0.8803, 'a1, a4': 0.9652, 'a2, a3': 0.596, 'a2, a4': 0.4666, 'a3, a4': 0.9655}",25510.7*(a1**((x0 - 1794.0) * 0.000184332)/(a2 + a4*tanh(((x0 - 1794.0) * 0.000184332)**a3))),168.6,1.0,41,139.0,46.86,3.391,1.143
10,15,7.5e-5**x0/(1.46*tanh(x0**1.15) + 0.109),a1**x0/(a2 + a4*tanh(x0**a3)),"{'a1': 7.5e-05, 'a2': 0.109, 'a3': 1.15, 'a4': 1.46}","{'a1': (7.633e-05, 6.64755e-06, -6.18555e-06), 'a2': (0.110088, 0.000231547, -0.000231278), 'a3': (1.1516, 0.0115844, -0.0116971), 'a4': (1.48011, 0.0647165, -0.062908)}","{'a1, a2': 0.3807, 'a1, a3': 0.8803, 'a1, a4': 0.9652, 'a2, a3': 0.596, 'a2, a4': 0.4666, 'a3, a4': 0.9655}",25510.7*(a1**((x0 - 1794.0) * 0.000184332)/(a2 + a4*tanh(((x0 - 1794.0) * 0.000184332)**a3))),168.6,1.0,41,139.0,46.86,3.391,1.143
